Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 124, 206, 254, 250,  -21,    9,    2,  -24
2401.000, 113, 204, 254, 253,  -20,    8,    8,  -26
2402.000,  92, 193, 254, 252,  -14,    1,   17,  -27
2403.000,  70, 180, 252, 251,   -3,   -8,   22,  -27
2404.000,  43, 163, 251, 251,   11,  -18,   19,  -20
2405.000,  13, 142, 253, 253,   23,  -26,    8,   -9
2406.000, 236, 122, 254, 253,   22,  -28,  -11,    4
2407.000, 203, 103, 252, 252,    7,  -25,  -24,   17
2408.000, 170,  85, 254, 250,  -13,  -15,  -21,   27
2409.000, 136,  67, 253, 251,  -23,   -2,   -5,   32
2410.000, 104,  51, 252, 254,  -18,   10,   12,   30
2411.000,  73,  34, 252, 252,   -4,   20,   19,   22
2412.000,  41,  14, 253, 255,   10,   26,   15,    9
2413.000,  11, 249, 252, 253,   16,   24,    4,   -4
2414.000, 240, 227, 250, 254,   13,   17,   -6,  -15
2415.000, 215, 205, 254, 253,    8,    6,  -12,  -20
2416.000, 185, 178, 252, 252,   -3,   -6,  -16,  -18
2417.000, 154, 149, 253, 253,  -14,  -16,  -11,   -9
2418.000, 121, 122, 254, 252,  -18,  -21,    3,    3
2419.000,  88, 100, 252, 252,  -10,  -17,   16,   14
2420.000,  56,  81, 254, 252,    4,  -10,   19,   22
2421.000,  25,  62, 254, 251,   15,    1,   10,   24
2422.000, 252,  42, 254, 253,   17,   13,   -2,   21
2423.000, 227,  22, 253, 252,   12,   20,  -11,   12
2424.000, 202, 255, 252, 255,    4,   21,  -17,    0
2425.000, 174, 228, 253, 252,   -9,   16,  -18,  -13
2426.000, 143, 201, 254, 253,  -22,    5,   -8,  -22
2427.000, 109, 175, 251, 253,  -24,  -11,   12,  -23
2428.000,  73, 152, 254, 252,   -7,  -26,   30,  -17
2429.000,  37, 132, 253, 251,   20,  -35,   25,   -3
2430.000, 255, 113, 253, 251,   32,  -37,   -1,   14
2431.000, 222,  96, 253, 253,   21,  -29,  -23,   29
2432.000, 192,  80, 251, 251,    0,  -16,  -32,   38
2433.000, 161,  61, 252, 253,  -22,    3,  -24,   39
2434.000, 130,  40, 253, 252,  -36,   23,   -2,   34
2435.000,  95,  18, 251, 255,  -26,   38,   27,   18
2436.000,  61, 255, 253, 253,    3,   46,   40,   -2
2437.000,  24, 236, 253, 251,   33,   43,   22,  -23
2438.000, 245, 218, 253, 252,   36,   30,  -10,  -41
2439.000, 211, 202, 253, 253,   16,   12,  -31,  -49
2440.000, 179, 183, 251, 247,  -10,  -10,  -32,  -47
2441.000, 148, 164, 251, 253,  -29,  -28,  -15,  -35
2442.000, 115, 139, 252, 255,  -31,  -41,   10,  -12
2443.000,  85, 119, 255, 254,  -17,  -40,   29,   10
2444.000,  54,  99, 252, 253,    8,  -31,   33,   27
2445.000,  23,  77, 254, 252,   30,  -13,   19,   41
2446.000, 247,  57, 252, 253,   37,    8,   -8,   43
2447.000, 214,  35, 252, 255,   20,   30,  -35,   35
2448.000, 178,  16, 254, 252,  -14,   44,  -39,   18
2449.000, 144, 252, 253, 252,  -38,   51,  -15,   -5
2450.000, 109, 235, 253, 252,  -36,   45,   19,  -26
2451.000,  74, 215, 253, 254,   -9,   28,   39,  -43
2452.000,  40, 198, 253, 252,   22,    8,   33,  -51
2453.000,   4, 179, 251, 254,   37,  -16,    4,  -48
2454.000, 225, 158, 253, 252,   25,  -37,  -24,  -33
2455.000, 194, 141, 255, 251,    1,  -44,  -33,  -15
2456.000, 161, 122, 255, 253,  -22,  -43,  -23,    7
2457.000, 129, 102, 250, 253,  -31,  -33,   -1,   25
2458.000,  97,  83, 254, 254,  -21,  -18,   20,   36
2459.000,  64,  63, 253, 250,    0,    0,   27,   38
2460.000,  33,  44, 252, 252,   18,   18,   19,   32
2461.000,   1,  23, 252, 251,   24,   28,    1,   18
2462.000, 225,   2, 254, 252,   16,   32,  -16,    1
2463.000, 194, 236, 253, 249,    1,   26,  -21,  -14
2464.000, 164, 214, 255, 254,  -13,   14,  -15,  -24
2465.000, 134, 193, 254, 251,  -18,    0,   -3,  -25
2466.000, 102, 166, 253, 253,  -15,  -15,   11,  -20
2467.000,  72, 144, 250, 252,   -3,  -22,   18,   -9
2468.000,  42, 120, 251, 250,   10,  -23,   16,    5
2469.000,  13, 101, 253, 252,   17,  -18,    6,   14
2470.000, 239,  78, 254, 253,   16,   -7,   -7,   21
2471.000, 210,  57, 253, 252,    7,    4,  -15,   22
2472.000, 181,  34, 252, 251,   -4,   14,  -15,   16
2473.000, 155,  12, 253, 251,  -12,   20,   -9,    6
2474.000, 132, 244, 251, 253,  -17,   18,   -1,   -6
2475.000, 102, 216, 254, 253,  -17,   10,   12,  -16
2476.000,  68, 187, 253, 250,   -2,   -2,   24,  -21
2477.000,  34, 164, 252, 254,   17,  -16,   19,  -19
2478.000,   0, 144, 250, 253,   27,  -27,    0,  -11
2479.000, 224, 124, 252, 253,   19,  -31,  -20,    3

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000, 241,  70, 253, 253,   31,   -4,  -12,   28
2401.000, 206,  46, 251, 252,   12,   12,  -33,   25
2402.000, 171,  23, 254, 250,  -18,   24,  -31,   16
2403.000, 137,   2, 252, 253,  -34,   30,   -8,    1
2404.000, 104, 239, 251, 251,  -30,   28,   20,  -12
2405.000,  71, 219, 253, 253,   -6,   19,   35,  -24
2406.000,  40, 199, 253, 253,   19,    5,   28,  -30
2407.000,   9, 180, 251, 251,   32,   -9,    7,  -29
2408.000, 236, 161, 254, 251,   29,  -20,  -16,  -21
2409.000, 206, 139, 252, 252,   12,  -27,  -34,   -8
2410.000, 175, 117, 254, 252,  -15,  -28,  -35,    8
2411.000, 144,  96, 252, 252,  -39,  -22,  -15,   22
2412.000, 108,  75, 251, 250,  -38,   -8,   21,   32
2413.000,  72,  55, 252, 252,   -9,    8,   43,   35
2414.000,  37,  38, 251, 248,   26,   22,   33,   30
2415.000,   4,  21, 253, 250,   39,   33,    4,   19
2416.000, 228,   5, 252, 252,   29,   36,  -25,    5
2417.000, 196, 238, 252, 251,    4,   31,  -37,  -15
2418.000, 162, 216, 254, 253,  -26,   18,  -28,  -27
2419.000, 132, 194, 254, 250,  -39,    1,   -3,  -32
2420.000, 101, 173, 255, 252,  -32,  -15,   25,  -29
2421.000,  68, 153, 255, 251,   -4,  -27,   42,  -19
2422.000,  36, 134, 252, 252,   27,  -35,   32,   -5
2423.000,   1, 114, 253, 252,   43,  -34,    1,   12
2424.000, 223,  95, 254, 252,   29,  -25,  -30,   27
2425.000, 190,  76, 253, 255,   -2,  -11,  -40,   36
2426.000, 157,  58, 251, 253,  -29,    5,  -25,   35
2427.000, 126,  37, 254, 254,  -38,   21,    2,   28
2428.000,  94,  17, 253, 255,  -26,   30,   28,   14
2429.000,  62, 251, 254, 253,    2,   32,   39,   -4
2430.000,  26, 229, 253, 254,   33,   26,   25,  -20
2431.000, 248, 207, 250, 253,   41,   12,   -8,  -31
2432.000, 214, 189, 252, 251,   21,   -3,  -36,  -35
2433.000, 179, 172, 255, 251,  -12,  -17,  -37,  -31
2434.000, 147, 156, 253, 253,  -33,  -28,  -16,  -23
2435.000, 112, 139, 252, 249,  -31,  -33,   12,   -9
2436.000,  82, 119, 252, 254,  -13,  -31,   27,    7
2437.000,  53, 101, 252, 252,    8,  -23,   27,   18
2438.000,  24,  77, 253, 250,   24,   -8,   16,   25
2439.000, 248,  55, 253, 252,   30,    6,   -6,   24
2440.000, 214,  31, 253, 253,   17,   18,  -27,   17
2441.000, 179,   9, 253, 252,  -10,   26,  -32,    6
2442.000, 140, 242, 252, 254,  -30,   26,   -9,   -9
2443.000, 106, 227, 253, 251,  -26,   22,   16,  -19
2444.000,  74, 212, 253, 252,   -6,   13,   27,  -24
2445.000,  39, 192, 255, 253,   14,    0,   20,  -26
2446.000,   4, 177, 255, 253,   22,   -8,    2,  -22
2447.000, 229, 158, 253, 253,   13,  -16,  -10,  -14
2448.000, 203, 141, 254, 252,    4,  -18,  -14,   -6
2449.000, 178, 119, 252, 253,   -4,  -14,  -12,    3
2450.000, 150,  92, 251, 253,  -12,   -8,   -7,   10
2451.000, 122,  64, 255, 248,  -13,    0,    2,   11
2452.000,  92,  39, 250, 250,   -8,    7,   10,    9
2453.000,  62,  14, 254, 250,    1,   11,   13,    4
2454.000,  28, 244, 252, 248,   11,   11,    8,   -3
2455.000, 252, 222, 255, 253,   13,    8,   -1,   -8
2456.000, 221, 203, 249, 248,    7,    3,   -8,  -11
2457.000, 195, 183, 250, 250,    1,   -2,  -10,  -10
2458.000, 167, 163, 250, 247,   -5,   -6,   -6,   -7
2459.000, 156, 136, 249, 253,   -5,   -8,   -4,   -2
2460.000, 136, 113, 250, 251,   -9,   -6,   -2,    3
2461.000, 109,  73, 251, 250,  -10,   -1,    5,    6
2462.000,  79,  38, 251, 251,   -5,    5,   13,    6
2463.000,  49,  12, 251, 251,    6,    9,   14,    3
2464.000,  17, 246, 252, 249,   17,   11,    8,   -3
2465.000, 239, 223, 254, 253,   19,    9,   -9,  -10
2466.000, 204, 199, 252, 254,    6,    3,  -22,  -16
2467.000, 172, 180, 252, 252,  -12,   -5,  -22,  -17
2468.000, 138, 159, 253, 253,  -27,  -14,   -6,  -13
2469.000, 105, 142, 251, 253,  -25,  -20,   16,   -7
2470.000,  72, 122, 254, 253,   -6,  -23,   29,    4
2471.000,  40, 106, 251, 251,   17,  -22,   25,   13
2472.000,   8,  89, 253, 252,   30,  -15,    6,   21
2473.000, 232,  68, 254, 253,   26,   -3,  -17,   25
2474.000, 200,  48, 254, 252,    7,   10,  -34,   24
2475.000, 166,  26, 254, 251,  -21,   22,  -29,   16
2476.000, 134,   6, 251, 254,  -38,   29,   -5,    4
2477.000,  99, 242, 254, 254,  -30,   29,   27,  -10
2478.000,  64, 222, 252, 254,    0,   22,   41,  -24
2479.000,  30, 204, 254, 253,   31,   10,   28,  -33

[ANTENNA_MEASUREMENT_VALUE_2]
2400.000, 212, 222, 253, 251,   13,   15,  -24,  -17
2401.000, 172, 206, 253, 253,  -13,    9,  -25,  -27
2402.000, 136, 191, 252, 254,  -28,   -1,   -5,  -32
2403.000, 102, 175, 254, 251,  -22,  -14,   16,  -30
2404.000,  73, 158, 254, 252,   -6,  -25,   29,  -22
2405.000,  39, 138, 253, 253,   19,  -31,   27,   -8
2406.000,   5, 115, 253, 251,   35,  -33,    4,   11
2407.000, 225,  97, 250, 252,   26,  -28,  -25,   27
2408.000, 191,  79, 252, 252,   -1,  -15,  -36,   38
2409.000, 157,  63, 254, 255,  -27,    1,  -23,   43
2410.000, 125,  47, 251, 253,  -34,   17,    3,   38
2411.000,  95,  29, 254, 252,  -22,   32,   24,   27
2412.000,  63,  10, 253, 254,    1,   39,   32,    9
2413.000,  34, 244, 254, 253,   22,   37,   23,  -11
2414.000,   2, 223, 252, 252,   34,   26,    2,  -27
2415.000, 227, 199, 253, 254,   28,    6,  -24,  -37
2416.000, 196, 177, 252, 252,    4,  -14,  -40,  -37
2417.000, 159, 155, 253, 251,  -29,  -33,  -28,  -26
2418.000, 126, 134, 251, 253,  -43,  -46,    2,   -6
2419.000,  90, 115, 252, 252,  -26,  -45,   34,   15
2420.000,  59,  97, 254, 249,    5,  -35,   42,   34
2421.000,  29,  79, 254, 251,   33,  -18,   29,   46
2422.000, 254,  60, 253, 250,   47,    5,   -2,   49
2423.000, 220,  39, 249, 254,   33,   29,  -39,   41
2424.000, 185,  18, 254, 252,   -9,   48,  -53,   24
2425.000, 150, 255, 253, 253,  -46,   58,  -28,   -1
2426.000, 114, 239, 254, 249,  -51,   56,   18,  -25
2427.000,  79, 221, 251, 254,  -19,   40,   48,  -47
2428.000,  46, 204, 252, 250,   22,   18,   45,  -59
2429.000,  14, 186, 254, 252,   45,   -9,   16,  -58
2430.000, 234, 164, 253, 254,   43,  -36,  -25,  -44
2431.000, 202, 143, 255, 253,   12,  -51,  -50,  -20
2432.000, 168, 124, 254, 252,  -30,  -57,  -44,    6
2433.000, 133, 106, 253, 253,  -51,  -50,   -6,   30
2434.000,  99,  90, 255, 254,  -38,  -35,   33,   49
2435.000,  63,  73, 252, 253,    1,  -13,   47,   58
2436.000,  30,  55, 253, 251,   33,   13,   29,   56
2437.000, 253,  38, 255, 252,   40,   32,   -3,   43
2438.000, 221,  19, 253, 252,   25,   44,  -29,   22
2439.000, 188, 255, 253, 253,   -4,   45,  -37,   -1
2440.000, 155, 234, 254, 253,  -27,   37,  -21,  -23
2441.000, 121, 214, 254, 252,  -32,   22,    6,  -36
2442.000,  90, 191, 252, 252,  -18,    0,   23,  -39
2443.000,  57, 173, 252, 254,    5,  -17,   28,  -33
2444.000,  27, 155, 253, 253,   22,  -27,   16,  -20
2445.000, 254, 132, 251, 253,   27,  -32,   -1,   -3
2446.000, 220, 111, 254, 252,   17,  -28,  -21,   12
2447.000, 187,  89, 250, 253,   -3,  -18,  -26,   25
2448.000, 152,  71, 252, 251,  -19,   -5,  -13,   30
2449.000, 120,  53, 253, 253,  -20,    8,    4,   28
2450.000,  90,  33, 251, 252,  -11,   18,   14,   19
2451.000,  63,  13, 254, 254,    0,   22,   16,    7
2452.000,  36, 246, 251, 251,    9,   19,   11,   -5
2453.000,  12, 220, 252, 253,   14,   11,    4,  -13
2454.000, 238, 192, 247, 252,   14,    0,   -7,  -16
2455.000, 210, 164, 252, 252,    7,  -10,  -15,  -13
2456.000, 178, 141, 250, 250,   -6,  -17,  -17,   -5
2457.000, 149, 117, 253, 252,  -16,  -18,   -9,    5
2458.000, 117,  99, 253, 251,  -19,  -15,    5,   13
2459.000,  81,  77, 252, 254,   -8,   -6,   18,   20
2460.000,  45,  58, 251, 252,    9,    3,   17,   23
2461.000,  10,  41, 252, 255,   15,   12,    4,   19
2462.000, 239,  25, 255, 252,   12,   18,   -5,   13
2463.000, 215,   7, 249, 253,    6,   17,  -10,    3
2464.000, 189, 236, 250, 251,   -1,   13,  -13,   -7
2465.000, 159, 207, 252, 252,   -9,    5,   -9,  -13
2466.000, 129, 177, 253, 253,  -13,   -5,    0,  -13
2467.000, 106, 154, 251, 251,  -11,  -12,    7,   -9
2468.000,  77, 131, 254, 248,   -5,  -14,   15,   -1
2469.000,  47, 102, 252, 252,    8,  -12,   17,    9
2470.000,  14,  76, 254, 253,   20,   -5,    7,   18
2471.000, 236,  59, 253, 253,   20,    3,  -10,   22
2472.000, 201,  40, 250, 253,    5,   14,  -22,   20
2473.000, 168,  22, 252, 251,  -13,   22,  -18,   13
2474.000, 136,   4, 253, 250,  -21,   26,   -4,    3
2475.000, 107, 241, 252, 251,  -19,   24,   11,   -9
2476.000,  74, 220, 254, 252,   -6,   16,   23,  -19
2477.000,  41, 197, 253, 253,   13,    3,   20,  -25
2478.000,   8, 177, 252, 252,   25,  -10,    5,  -26
2479.000, 230, 156, 252, 252,   20,  -21,  -16,  -18

[ANTENNA_MEASUREMENT_VALUE_3]
2400.000, 162, 191, 248, 248,   -6,    0,   -7,   -6
2401.000, 134, 158, 248, 239,  -10,   -4,   -1,   -3
2402.000, 102, 124, 252, 249,  -10,   -5,    7,    1
2403.000,  72,  97, 253, 253,   -3,   -5,   14,    4
2404.000,  40,  75, 251, 249,    8,   -2,   13,    7
2405.000,   8,  52, 249, 252,   16,    3,    3,    8
2406.000, 231,  32, 252, 251,   14,    7,  -10,    7
2407.000, 201,  12, 253, 253,    4,   10,  -18,    3
2408.000, 170, 249, 252, 248,  -11,   11,  -17,   -2
2409.000, 139, 229, 253, 249,  -21,    9,   -6,   -7
2410.000, 108, 209, 253, 252,  -21,    5,   11,  -11
2411.000,  76, 189, 249, 251,   -7,   -1,   25,  -13
2412.000,  41, 167, 253, 253,   15,   -8,   23,  -12
2413.000,   7, 148, 254, 251,   28,  -14,    5,   -7
2414.000, 230, 129, 254, 252,   24,  -17,  -18,   -1
2415.000, 196, 110, 253, 253,    3,  -16,  -31,    7
2416.000, 164,  91, 252, 251,  -20,  -11,  -25,   14
2417.000, 129,  72, 250, 252,  -33,   -4,    0,   19
2418.000,  94,  50, 253, 253,  -22,    7,   25,   18
2419.000,  60,  33, 251, 252,    4,   14,   34,   14
2420.000,  28,  15, 254, 254,   27,   19,   22,    8
2421.000, 251, 253, 253, 254,   35,   21,   -4,   -2
2422.000, 218, 235, 253, 252,   21,   19,  -27,  -10
2423.000, 187, 216, 250, 253,   -4,   12,  -34,  -18
2424.000, 156, 197, 254, 253,  -27,    2,  -22,  -21
2425.000, 124, 176, 253, 251,  -37,   -8,    4,  -19
2426.000,  90, 155, 254, 251,  -23,  -17,   32,  -13
2427.000,  57, 134, 251, 252,    7,  -23,   41,   -3
2428.000,  21, 115, 254, 253,   37,  -23,   22,    8
2429.000, 243,  96, 255, 252,   43,  -18,  -14,   18
2430.000, 205,  76, 253, 253,   13,   -8,  -43,   25
2431.000, 169,  59, 254, 253,  -23,    4,  -36,   27
2432.000, 135,  43, 254, 252,  -40,   13,   -7,   24
2433.000, 102,  28, 253, 253,  -30,   20,   22,   17
2434.000,  72,  12, 254, 254,   -7,   24,   35,    7
2435.000,  39, 248, 254, 253,   19,   22,   28,   -5
2436.000,   9, 228, 250, 252,   32,   16,    7,  -14
2437.000, 234, 207, 253, 252,   29,    7,  -17,  -19
2438.000, 201, 185, 250, 251,    7,   -4,  -34,  -20
2439.000, 166, 164, 250, 253,  -21,  -13,  -28,  -15
2440.000, 132, 144, 255, 252,  -33,  -19,   -3,   -8
2441.000,  98, 125, 252, 253,  -24,  -21,   22,    2
2442.000,  66, 105, 250, 252,   -1,  -17,   31,   11
2443.000,  33,  86, 251, 255,   20,  -10,   21,   17
2444.000, 254,  66, 254, 252,   29,   -1,   -1,   18
2445.000, 224,  48, 251, 251,   19,    7,  -19,   16
2446.000, 191,  29, 255, 253,   -1,   13,  -25,   11
2447.000, 159,  10, 254, 252,  -16,   16,  -15,    4
2448.000, 129, 247, 253, 252,  -20,   15,    0,   -3
2449.000, 100, 227, 252, 251,  -14,   10,   11,   -9
2450.000,  74, 205, 250, 252,   -4,    4,   16,  -11
2451.000,  48, 181, 255, 253,    7,   -3,   15,  -10
2452.000,  20, 153, 253, 251,   15,   -8,    8,   -6
2453.000, 246, 127, 255, 252,   18,  -10,   -4,    0
2454.000, 213, 100, 253, 251,    9,   -8,  -17,    7
2455.000, 181,  79, 254, 253,   -5,   -4,  -19,   10
2456.000, 151,  58, 254, 255,  -15,    2,  -10,   12
2457.000, 125,  39, 251, 254,  -17,    7,    2,   10
2458.000, 103,  19, 254, 250,  -15,   10,   11,    5
2459.000,  77, 249, 252, 250,   -7,   10,   21,   -2
2460.000,  44, 221, 253, 252,   12,    7,   23,   -8
2461.000,  10, 195, 251, 253,   29,    1,    7,  -13
2462.000, 231, 174, 252, 252,   26,   -7,  -19,  -14
2463.000, 198, 156, 254, 251,    5,  -14,  -32,  -11
2464.000, 165, 138, 253, 254,  -21,  -18,  -27,   -5
2465.000, 132, 119, 252, 252,  -36,  -19,   -3,    4
2466.000,  95,  97, 253, 252,  -26,  -15,   27,   14
2467.000,  62,  78, 252, 253,    2,   -7,   39,   20
2468.000,  29,  62, 252, 251,   30,    1,   26,   22
2469.000, 253,  42, 252, 251,   41,   12,   -3,   20
2470.000, 220,  26, 255, 253,   26,   19,  -32,   14
2471.000, 187,   7, 250, 253,   -5,   24,  -41,    4
2472.000, 154, 245, 255, 250,  -34,   24,  -25,   -6
2473.000, 120, 226, 252, 253,  -41,   18,    8,  -17
2474.000,  88, 207, 253, 253,  -22,    9,   34,  -23
2475.000,  54, 189, 252, 251,    9,   -2,   40,  -25
2476.000,  22, 168, 255, 254,   35,  -14,   21,  -20
2477.000, 244, 149, 250, 254,   39,  -21,  -11,  -12
2478.000, 211, 129, 253, 253,   18,  -24,  -36,   -1
2479.000, 178, 110, 253, 254,  -13,  -22,  -36,   10

[PMU_VALUES_END]

[AGCTGT_INITIATOR]
[ 1 1 1 1 ]
[AGCTGT_INITIATOR_END]
[AGCTGT_REFLECTOR]
[ 1 1 1 1 ]
[AGCTGT_REFLECTOR_END]
[OVERDRIVING_INITIATOR]
