Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  15,  19, 252, 255,   16,   26,    6,   13
2401.000,  40,  55, 250, 252,   10,    6,   14,   29
2402.000,  53,  83, 253, 254,    5,  -14,   17,   28
2403.000,  60, 103, 253, 254,    2,  -26,   18,   18
2404.000,  63, 123, 254, 251,    0,  -32,   19,    4
2405.000,  63, 139, 251, 254,    0,  -32,   19,   -9
2406.000,  61, 154, 250, 252,    1,  -27,   19,  -20
2407.000,  59, 170, 251, 252,    2,  -18,   18,  -29
2408.000,  58, 185, 252, 253,    3,   -5,   18,  -34
2409.000,  55, 202, 253, 254,    4,    8,   17,  -33
2410.000,  53, 216, 252, 253,    4,   18,   16,  -27
2411.000,  50, 231, 253, 251,    5,   26,   15,  -19
2412.000,  49, 245, 254, 254,    5,   30,   13,   -8
2413.000,  49,   2, 252, 252,    5,   28,   12,    2
2414.000,  48,  14, 251, 250,    5,   25,   12,    9
2415.000,  46,  24, 254, 252,    6,   20,   12,   13
2416.000,  45,  34, 254, 251,    6,   17,   11,   18
2417.000,  41,  45, 251, 252,    7,   11,   10,   21
2418.000,  40,  56, 249, 254,    7,    5,   10,   22
2419.000,  38,  69, 254, 252,    7,   -3,    9,   22
2420.000,  37,  81, 253, 254,    7,   -9,    9,   20
2421.000,  35,  95, 253, 253,    7,  -15,    9,   16
2422.000,  33, 108, 254, 250,    8,  -19,    8,   10
2423.000,  27, 122, 250, 251,    9,  -21,    7,    3
2424.000,  22, 134, 250, 254,    9,  -21,    5,   -3
2425.000,  15, 151, 252, 251,    8,  -17,    3,  -11
2426.000,   9, 166, 248, 252,    7,  -11,    2,  -15
2427.000,   3, 182, 241, 254,    5,   -4,    0,  -16
2428.000,   6, 199, 245, 253,    3,    2,    0,  -13
2429.000,  22, 212, 243, 253,    2,    5,    1,   -8
2430.000,  44, 220, 227, 255,    1,    4,    2,   -5
2431.000,  48, 214, 241, 249,    1,    2,    3,   -4
2432.000,  50, 207, 251, 251,    1,    2,    3,   -4
2433.000,  56, 214, 251, 247,    1,    3,    3,   -5
2434.000,  62, 221, 245, 249,    0,    3,    3,   -4
2435.000,  66, 225, 239, 255,    0,    4,    3,   -4
2436.000,  72, 234, 251, 243,   -1,    5,    3,   -3
2437.000,  78, 236, 241, 245,   -1,    5,    4,   -3
2438.000,  84, 241, 239, 252,   -2,    6,    4,   -2
