Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 104,  33, 253, 249,  -19,   24,   13,   26
2401.000, 228, 158, 255, 253,   19,  -23,  -16,  -21
2402.000,  85,  15, 252, 253,  -12,   27,   22,   11
2403.000, 193, 126, 254, 254,    1,  -30,  -26,    1
2404.000,  42, 237, 252, 250,   14,   27,   23,  -14
2405.000, 145,  90, 252, 251,  -25,  -19,  -11,   25
2406.000, 245, 199, 254, 253,   29,    6,   -8,  -32
2407.000,  88,  53, 253, 252,  -18,    9,   26,   33
2408.000, 186, 163, 252, 251,   -5,  -24,  -33,  -28
2409.000,  27,  17, 248, 254,   28,   35,   21,   16
2410.000, 121, 130, 253, 250,  -35,  -41,    6,   -2
2411.000, 216, 243, 251, 252,   19,   41,  -28,  -13
2412.000,  53, 100, 251, 250,    9,  -34,   30,   28
2413.000, 147, 215, 251, 252,  -24,   23,  -12,  -36
2414.000, 240,  74, 254, 253,   19,   -9,   -8,   37
2415.000,  80, 189, 254, 253,   -5,   -2,   14,  -33
2416.000, 184,  48, 253, 253,   -2,   10,   -9,   24
2417.000,  59, 158, 245, 254,    1,  -14,    5,  -12
2418.000, 187,   5, 242, 250,   -1,   11,   -9,    1
2419.000,  31,  82, 252, 255,   11,   -2,   10,    5
2420.000, 127, 158, 255, 248,  -19,   -9,    0,   -8
2421.000, 223,  12, 251, 251,   16,   18,  -17,    5
2422.000,  61, 124, 253, 251,    2,  -24,   25,    3
2423.000, 156, 237, 253, 251,  -20,   26,  -16,  -13
2424.000, 252,  97, 252, 252,   24,  -23,   -3,   22
2425.000,  94, 209, 253, 252,  -15,   13,   17,  -30
2426.000, 195,  67, 252, 254,    1,   -2,  -21,   31
2427.000,  41, 175, 252, 253,   12,  -11,   18,  -26
2428.000, 139,  26, 252, 254,  -21,   21,   -6,   16
2429.000, 239, 131, 253, 252,   19,  -27,   -8,   -2
2430.000,  82, 239, 251, 252,   -9,   26,   18,  -11
2431.000, 188,  90, 252, 253,   -2,  -16,  -19,   21
2432.000,  38, 198, 253, 251,   13,    4,   17,  -25
2433.000, 145,  45, 252, 254,  -22,   11,  -10,   22
2434.000, 246, 149, 253, 252,   31,  -23,   -7,  -13
2435.000,  86, 250, 252, 252,  -20,   30,   34,   -5
