Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  19,  40, 250, 252,   16,   17,    8,   25
2401.000, 164, 197, 251, 252,  -11,    4,  -14,  -31
2402.000,  41,  89, 255, 250,    9,  -18,   14,   27
2403.000, 168, 230, 254, 253,   -9,   26,  -14,  -19
2404.000,  33, 110, 251, 252,   11,  -28,   12,   14
2405.000, 153, 242, 250, 253,  -13,   28,   -9,  -10
2406.000,  14, 117, 255, 251,   15,  -28,    5,    8
2407.000, 131, 247, 252, 252,  -17,   29,   -1,   -6
2408.000, 246, 121, 254, 252,   17,  -29,   -4,    5
2409.000, 103, 251, 251, 255,  -14,   30,   10,   -4
2410.000, 216, 126, 252, 254,    9,  -31,  -14,    2
2411.000,  73,   1, 252, 252,   -3,   32,   15,    0
2412.000, 187, 134, 248, 252,   -2,  -30,  -14,   -4
2413.000,  49,   8, 250, 252,    5,   27,   12,    5
2414.000, 164, 135, 252, 253,   -8,  -25,   -9,   -4
2415.000,  25,   5, 252, 253,   10,   23,    7,    3
2416.000, 140, 133, 250, 253,  -12,  -22,   -3,   -3
2417.000, 253, 255, 248, 253,   13,   22,   -1,   -1
2418.000, 110, 127, 253, 254,  -12,  -23,    6,    1
2419.000, 221, 255, 254, 255,    9,   24,  -10,    0
2420.000,  76, 130, 249, 253,   -4,  -25,   12,   -1
2421.000, 190,   8, 252, 254,   -1,   25,  -11,    5
2422.000,  48, 141, 250, 254,    4,  -22,    9,   -7
2423.000, 163,  16, 253, 253,   -6,   19,   -7,    8
2424.000,  22, 144, 251, 253,    7,  -17,    4,   -7
2425.000, 139,  16, 253, 255,   -7,   15,   -2,    6
2426.000, 253, 143, 249, 252,    7,  -14,   -1,   -5
2427.000, 112,  14, 251, 252,   -5,   13,    2,    5
2428.000, 231, 141, 251, 253,    4,  -12,   -3,   -4
2429.000,  90,  12, 249, 253,   -3,   10,    4,    3
2430.000, 209, 138, 245, 246,    2,   -9,   -4,   -2
2431.000,  66,   6, 249, 253,    0,    9,    4,    1
2432.000, 188, 133, 255, 253,    0,   -8,   -2,   -1
2433.000,  70,   7, 231, 247,    0,    7,    2,    1
2434.000, 206, 133, 251, 251,    1,   -4,   -2,    0
2435.000,  70, 232, 251, 247,    0,    3,    3,   -2
2436.000, 185,  87, 239, 245,   -1,   -2,   -4,    4
2437.000,  46, 212, 237, 243,    2,    3,    4,   -6
2438.000, 165,  81, 251, 249,   -3,   -3,   -3,    7
2439.000,  29, 208, 249, 253,    4,    3,    3,   -7
2440.000, 150,  75, 249, 251,   -5,   -2,   -3,    7
2441.000,   5, 194, 245, 251,    7,    0,    1,   -8
2442.000, 120,  58, 248, 248,   -7,    2,    2,   10
2443.000, 234, 191, 252, 251,    7,    0,   -4,  -13
2444.000,  92,  65, 252, 251,   -6,    0,    7,   14
2445.000, 204, 195, 250, 253,    3,    1,   -8,  -16
2446.000,  65,  72, 251, 251,    0,   -3,    8,   16
2447.000, 183, 202, 250, 251,   -2,    4,   -8,  -16
2448.000,  46,  75, 245, 254,    4,   -4,    8,   15
2449.000, 166, 198, 251, 253,   -6,    2,   -7,  -15
2450.000,  26,  65, 243, 254,    9,    0,    7,   16
2451.000, 139, 189, 252, 253,  -13,   -1,   -3,  -17
2452.000, 249,  58, 255, 254,   15,    3,   -3,   21
2453.000, 102, 187, 253, 252,  -12,   -3,    9,  -24
2454.000, 214,  63, 250, 253,    8,    1,  -13,   27
2455.000,  70, 197, 249, 255,   -2,    3,   15,  -28
2456.000, 186,  73, 252, 253,   -2,   -6,  -14,   27
2457.000,  49, 205, 253, 254,    5,    8,   13,  -26
