Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 220, 187, 253, 253,   14,   -3,  -17,  -29
2401.000,  84,  57, 252, 255,  -11,    5,   20,   29
2402.000, 204, 182, 253, 251,    6,   -7,  -22,  -28
2403.000,  67,  51, 252, 254,   -2,    9,   23,   28
2404.000, 187, 176, 254, 253,   -3,  -11,  -23,  -27
2405.000,  51,  46, 252, 249,    7,   13,   22,   27
2406.000, 171, 172, 253, 253,  -12,  -14,  -20,  -27
2407.000,  35,  41, 251, 253,   16,   16,   18,   26
2408.000, 155, 167, 251, 251,  -19,  -18,  -14,  -25
2409.000,  20,  37, 255, 251,   21,   19,   11,   25
2410.000, 141, 164, 253, 253,  -22,  -20,   -7,  -24
2411.000,   7,  36, 252, 253,   23,   20,    4,   24
2412.000, 127, 162, 250, 253,  -23,  -21,    0,  -23
2413.000, 248,  32, 254, 253,   23,   22,   -4,   22
2414.000, 113, 157, 254, 254,  -22,  -23,    9,  -20
2415.000, 233,  28, 254, 253,   20,   25,  -13,   20
2416.000,  96, 155, 253, 252,  -17,  -25,   17,  -19
2417.000, 219,  23, 252, 255,   14,   27,  -19,   17
2418.000,  83, 149, 251, 255,  -11,  -28,   21,  -16
2419.000, 203,  20, 254, 252,    6,   28,  -23,   15
2420.000,  68, 146, 252, 249,   -2,  -29,   24,  -14
2421.000, 187,  15, 252, 254,   -3,   30,  -23,   11
2422.000,  52, 142, 254, 254,    7,  -30,   23,  -11
2423.000, 173,  12, 253, 254,  -11,   30,  -21,    9
2424.000,  39, 139, 253, 254,   14,  -31,   19,   -8
2425.000, 159,   9, 253, 255,  -17,   31,  -16,    7
2426.000,  24, 135, 253, 253,   20,  -31,   13,   -5
2427.000, 145,   5, 254, 251,  -21,   32,   -9,    4
2428.000,   9, 131, 254, 254,   23,  -32,    5,   -2
2429.000, 129,   1, 251, 254,  -23,   32,    0,    1
2430.000, 251, 127, 254, 252,   23,  -31,   -3,    1
2431.000, 116, 254, 253, 254,  -22,   31,    7,   -2
2432.000, 236, 124, 251, 253,   20,  -31,  -10,    3
2433.000, 100, 249, 254, 254,  -17,   30,   14,   -5
2434.000, 223, 120, 252, 252,   15,  -30,  -16,    6
2435.000,  88, 247, 254, 252,  -12,   30,   18,   -7
2436.000, 209, 118, 252, 252,    9,  -29,  -20,    8
2437.000,  74, 244, 254, 253,   -5,   29,   21,   -9
2438.000, 196, 114, 253, 252,    2,  -28,  -21,   10
2439.000,  61, 240, 252, 252,    1,   28,   21,  -11
2440.000, 182, 110, 254, 253,   -5,  -27,  -21,   12
2441.000,  48, 236, 252, 253,    8,   25,   20,  -14
2442.000, 168, 105, 254, 253,  -12,  -24,  -18,   16
2443.000,  35, 232, 251, 253,   14,   24,   16,  -16
2444.000, 156, 100, 253, 253,  -16,  -22,  -14,   18
2445.000,  21, 228, 249, 255,   18,   22,   11,  -18
