Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 123, 210, 253, 249,  -20,   15,    2,  -31
2401.000,   9, 100, 251, 254,   20,  -27,    4,   22
2402.000, 149, 245, 254, 254,  -18,   34,  -10,   -9
2403.000,  35, 135, 252, 254,   13,  -35,   15,   -6
2404.000, 176,  24, 254, 252,   -8,   29,  -19,   20
2405.000,  61, 170, 253, 252,    2,  -19,   21,  -30
2406.000, 203,  59, 252, 252,    5,    4,  -20,   35
2407.000,  88, 205, 254, 253,  -12,   11,   17,  -34
2408.000, 230,  96, 254, 253,   17,  -25,  -12,   26
2409.000, 117, 242, 253, 255,  -20,   34,    6,  -12
2410.000,   3, 134, 254, 252,   21,  -36,    2,   -5
2411.000, 145,  25, 253, 254,  -19,   30,   -9,   21
2412.000,  32, 171, 253, 254,   15,  -18,   15,  -32
2413.000, 174,  61, 251, 254,   -9,    3,  -19,   37
2414.000,  59, 207, 254, 252,    3,   13,   21,  -35
2415.000, 201,  97, 253, 254,    4,  -27,  -21,   26
2416.000,  87, 242, 249, 251,  -11,   35,   18,  -13
2417.000, 229, 134, 249, 253,   17,  -37,  -13,   -5
2418.000, 116,  25, 252, 253,  -20,   31,    6,   21
2419.000,   1, 170, 252, 252,   21,  -20,    0,  -32
2420.000, 143,  60, 253, 254,  -20,    4,   -7,   38
2421.000,  27, 205, 252, 252,   17,   12,   13,  -36
2422.000, 170,  97, 255, 253,  -11,  -27,  -18,   27
2423.000,  57, 244, 254, 254,    4,   37,   21,  -11
2424.000, 199, 135, 254, 252,    3,  -38,  -21,   -6
2425.000,  84,  25, 254, 252,  -10,   31,   19,   22
2426.000, 227, 171, 253, 253,   16,  -19,  -14,  -34
2427.000, 112,  62, 251, 254,  -20,    2,    8,   39
2428.000, 255, 209, 253, 254,   22,   15,   -1,  -36
2429.000, 139,  97, 251, 254,  -21,  -28,   -6,   27
2430.000,  25, 244, 252, 251,   18,   37,   13,  -11
2431.000, 168, 135, 254, 254,  -12,  -38,  -18,   -6
2432.000,  54,  26, 253, 252,    5,   31,   21,   23
2433.000, 195, 171, 252, 251,    2,  -19,  -21,  -34
2434.000,  82,  63, 252, 253,   -9,    1,   19,   38
2435.000, 226, 210, 253, 253,   16,   17,  -14,  -35
2436.000, 111, 100, 253, 253,  -20,  -30,    9,   24
2437.000, 254, 247, 252, 252,   21,   37,   -1,   -8
2438.000, 140, 137, 255, 253,  -21,  -37,   -6,   -9
2439.000,  26,  28, 254, 251,   17,   30,   13,   24
2440.000, 168, 175, 252, 252,  -12,  -16,  -18,  -35
