Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 200,  79, 251, 254,    5,  -11,  -23,   29
2401.000, 235, 119, 255, 253,   21,  -30,  -12,    7
2402.000,  12, 158, 255, 254,   23,  -23,    7,  -21
2403.000,  44, 196, 252, 252,   11,    3,   21,  -31
2404.000,  79, 236, 254, 254,   -8,   28,   23,  -15
2405.000, 113,  18, 252, 255,  -23,   28,    9,   14
2406.000, 146,  58, 254, 251,  -22,    5,  -11,   31
2407.000, 180,  98, 254, 254,   -7,  -24,  -24,   21
2408.000, 215, 138, 250, 255,   13,  -32,  -21,   -8
2409.000, 249, 178, 251, 254,   24,  -11,   -4,  -31
2410.000,  28, 220, 253, 250,   19,   21,   16,  -26
2411.000,  63,   5, 255, 253,    1,   33,   25,    4
2412.000,  97,  44, 251, 251,  -18,   16,   17,   29
2413.000, 132,  84, 253, 255,  -25,  -16,   -3,   29
2414.000, 165, 124, 253, 253,  -15,  -33,  -20,    4
2415.000, 200, 163, 251, 253,    5,  -22,  -25,  -25
2416.000, 234, 201, 253, 254,   22,    7,  -13,  -33
2417.000,  12, 243, 253, 252,   24,   32,    7,  -10
2418.000,  45,  29, 254, 252,   11,   26,   22,   22
2419.000,  81,  66, 252, 255,  -10,   -2,   23,   34
2420.000, 115, 107, 253, 253,  -23,  -29,    8,   17
2421.000, 148, 145, 254, 252,  -22,  -31,  -12,  -14
2422.000, 184, 186, 253, 253,   -5,   -5,  -24,  -33
2423.000, 219, 226, 252, 252,   15,   25,  -19,  -22
2424.000, 254,  11, 253, 252,   24,   32,   -1,    9
2425.000,  31,  51, 252, 252,   18,   11,   17,   32
2426.000,  66,  91, 252, 253,   -1,  -21,   24,   26
2427.000, 100, 130, 253, 251,  -19,  -33,   15,   -2
2428.000, 135, 172, 251, 254,  -24,  -16,   -4,  -29
2429.000, 168, 210, 252, 254,  -13,   15,  -20,  -30
2430.000, 204, 251, 252, 253,    7,   33,  -22,   -4
2431.000, 239,  36, 252, 253,   22,   21,  -10,   26
2432.000,  17,  76, 252, 252,   21,   -9,   10,   31
2433.000,  51, 115, 252, 251,    7,  -30,   22,   10
2434.000,  86, 156, 253, 254,  -12,  -25,   20,  -20
2435.000, 122, 195, 253, 254,  -23,    3,    4,  -32
2436.000, 156, 236, 249, 254,  -18,   28,  -14,  -15
2437.000, 191,  21, 251, 255,   -1,   27,  -22,   16
2438.000, 226,  62, 251, 254,   16,    2,  -15,   31
2439.000,   5, 101, 251, 253,   22,  -24,    3,   19
2440.000,  41, 142, 253, 253,   12,  -28,   18,  -10
2441.000,  76, 181, 253, 252,   -6,   -8,   21,  -28
2442.000, 111, 223, 252, 252,  -20,   20,    9,  -21
2443.000, 146,   5, 254, 255,  -19,   29,   -9,    3
2444.000, 179,  41, 252, 253,   -7,   16,  -20,   25
2445.000, 216,  84, 252, 253,   12,  -13,  -18,   26
2446.000, 252, 125, 253, 253,   21,  -29,   -2,    2
