Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 189, 141, 254, 253,   -2,  -20,  -19,   -7
2401.000,  52,  19, 252, 251,    6,   20,   18,   10
2402.000, 160, 144, 255, 251,  -13,  -22,  -13,   -9
2403.000,   7,   7, 252, 253,   17,   23,    3,    4
2404.000, 107, 123, 253, 252,  -15,  -23,    8,    3
2405.000, 205, 236, 253, 252,    5,   20,  -16,  -11
2406.000,  45,  90, 251, 253,    7,  -13,   15,   17
2407.000, 141, 199, 252, 253,  -16,    4,   -5,  -21
2408.000, 234,  52, 254, 251,   14,    6,   -9,   20
2409.000,  72, 163, 254, 253,   -3,  -14,   16,  -16
2410.000, 166,  17, 254, 252,   -9,   20,  -13,    9
2411.000,   5, 126, 248, 254,   15,  -21,    2,    1
2412.000,  98, 234, 252, 254,  -11,   17,   10,  -10
2413.000, 192,  87, 252, 254,    0,  -10,  -14,   16
2414.000,  28, 194, 253, 249,   11,    1,    9,  -19
2415.000, 121,  47, 253, 250,  -13,    8,    2,   17
2416.000, 214, 156, 252, 251,    7,  -14,  -11,  -12
2417.000,  49,   6, 251, 253,    5,   17,   12,    2
2418.000, 143, 112, 252, 251,  -12,  -16,   -4,    6
2419.000, 235, 223, 252, 253,   10,   12,   -6,  -12
2420.000,  74,  78, 255, 251,   -2,   -5,   10,   15
2421.000, 167, 189, 249, 250,   -6,   -1,   -8,  -15
2422.000,   4,  42, 253, 248,   10,    7,    1,   12
2423.000,  93, 151, 250, 252,   -6,  -12,    7,   -7
2424.000, 185,   5, 252, 250,   -1,   13,   -7,    1
2425.000,  18, 116, 251, 251,    6,  -11,    3,    3
2426.000, 106, 226, 253, 250,   -4,    8,    2,   -7
2427.000, 200,  84, 255, 251,    0,   -4,   -2,    7
2428.000,  96, 196, 199, 251,   -1,    1,    1,   -6
2429.000, 202,  46, 235, 241,    1,    1,   -3,    2
2430.000,  39,  94, 243, 239,    2,   -1,    3,    1
2431.000, 126, 193, 249, 248,   -4,    0,    0,   -4
2432.000, 220,  48, 213, 245,    2,    2,   -2,    4
2433.000,  66, 164, 245, 249,    0,   -3,    3,   -4
2434.000, 180,  16, 235, 249,   -1,    4,   -2,    2
2435.000,  30, 112, 231, 247,    2,   -3,    2,    1
2436.000, 127, 204, 253, 255,   -4,    1,    0,   -3
2437.000, 222,  44, 249, 249,    3,    2,   -4,    4
2438.000,  62, 149, 255, 249,    0,   -5,    5,   -3
2439.000, 157, 255, 245, 248,   -4,    6,   -4,    0
2440.000, 252, 105, 253, 248,    6,   -6,   -1,    4
2441.000,  86, 209, 250, 251,   -4,    3,    6,   -7
2442.000, 180,  59, 254, 249,   -2,    1,   -6,    9
2443.000,  25, 171, 249, 251,    7,   -5,    5,   -8
2444.000, 122,  25, 248, 251,   -8,    8,    1,    5
2445.000, 215, 127, 245, 252,    5,  -10,   -8,    0
2446.000,  52, 236, 248, 249,    3,   10,    9,   -5
2447.000, 148,  87, 255, 251,   -9,   -7,   -4,   11
2448.000, 244, 196, 248, 251,   10,    1,   -3,  -13
2449.000,  85,  46, 250, 250,   -6,    6,   10,   12
2450.000, 179, 152, 255, 252,   -4,  -12,  -12,   -8
2451.000,  15,   1, 252, 250,   14,   15,    5,    0
2452.000, 107, 107, 252, 254,  -14,  -15,    8,    8
2453.000, 195, 214, 252, 253,    1,   10,  -17,  -16
