Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  38,  70, 250, 253,   13,   -4,   17,   26
2401.000,  21,  59, 254, 251,   18,    3,   10,   26
2402.000, 251,  41, 252, 252,   21,   14,   -2,   23
2403.000, 221,  17, 253, 252,   14,   25,  -16,   11
2404.000, 187, 246, 255, 253,   -3,   27,  -22,   -6
2405.000, 151, 216, 252, 253,  -20,   15,  -13,  -23
2406.000, 112, 185, 254, 254,  -24,   -5,   10,  -29
2407.000,  71, 155, 251, 252,   -5,  -25,   27,  -19
2408.000,  30, 127, 252, 254,   21,  -34,   19,    1
2409.000, 246,  98, 249, 254,   28,  -26,   -7,   24
2410.000, 207,  71, 250, 252,   10,   -6,  -27,   36
2411.000, 166,  41, 251, 255,  -18,   20,  -23,   31
2412.000, 124,  11, 253, 253,  -29,   36,    3,   10
2413.000,  82, 238, 253, 254,  -13,   35,   27,  -17
2414.000,  40, 208, 252, 252,   16,   15,   24,  -36
2415.000, 255, 179, 252, 251,   28,  -12,   -1,  -37
2416.000, 216, 147, 249, 255,   15,  -34,  -23,  -17
2417.000, 174, 117, 251, 249,  -12,  -36,  -25,    9
2418.000, 135,  82, 254, 254,  -28,  -16,   -5,   33
2419.000,  94,  53, 251, 254,  -19,   10,   21,   36
2420.000,  56,  23, 253, 255,    6,   31,   29,   20
2421.000,  16, 249, 254, 253,   28,   37,   12,   -6
2422.000, 232, 218, 252, 254,   26,   23,  -18,  -31
2423.000, 190, 187, 253, 251,   -2,   -5,  -32,  -40
2424.000, 150, 158, 251, 254,  -27,  -31,  -16,  -28
2425.000, 108, 127, 253, 253,  -28,  -42,   15,    0
2426.000,  67,  97, 255, 254,   -3,  -31,   33,   30
2427.000,  26,  67, 255, 251,   27,   -3,   20,   43
2428.000, 240,  36, 253, 253,   32,   28,  -13,   34
2429.000, 198,   4, 253, 254,    5,   45,  -35,    5
2430.000, 154, 230, 253, 251,  -29,   37,  -22,  -28
2431.000, 112, 200, 253, 254,  -34,   10,   14,  -47
2432.000,  70, 172, 254, 251,   -5,  -23,   36,  -43
2433.000,  29, 145, 251, 251,   27,  -45,   23,  -19
2434.000, 245, 117, 251, 253,   33,  -47,   -9,   13
2435.000, 204,  88, 254, 252,    9,  -26,  -32,   39
2436.000, 164,  58, 250, 253,  -21,    7,  -25,   45
2437.000, 123,  28, 253, 255,  -32,   34,    4,   28
2438.000,  83, 254, 254, 252,  -14,   44,   28,   -3
2439.000,  42, 224, 250, 253,   16,   30,   27,  -30
2440.000,   0, 192, 253, 250,   31,    0,    0,  -42
2441.000, 213, 158, 252, 253,   15,  -31,  -27,  -28
2442.000, 172, 130, 252, 254,  -15,  -42,  -27,   -2
2443.000, 130,  99, 253, 253,  -31,  -32,   -2,   27
2444.000,  89,  72, 251, 252,  -17,   -8,   24,   41
2445.000,  51,  42, 254, 255,    9,   21,   27,   35
2446.000,  11,  13, 252, 254,   26,   37,    7,   12
2447.000, 227, 238, 251, 253,   20,   34,  -18,  -16
2448.000, 185, 208, 252, 253,   -4,   14,  -25,  -34
2449.000, 148, 177, 250, 252,  -21,  -13,  -12,  -33
2450.000, 108, 146, 252, 251,  -21,  -30,   11,  -15
2451.000,  70, 113, 253, 254,   -3,  -30,   25,   12
2452.000,  28,  80, 253, 255,   20,  -12,   16,   30
2453.000, 242,  48, 253, 253,   24,   13,   -8,   31
2454.000, 200,  17, 251, 251,    5,   31,  -24,   13
2455.000, 160, 244, 251, 253,  -17,   32,  -17,  -10
2456.000, 121, 214, 254, 253,  -23,   17,    4,  -28
2457.000,  81, 184, 251, 252,   -9,   -6,   20,  -31
2458.000,  45, 154, 252, 255,   10,  -24,   19,  -18
2459.000,   7, 123, 255, 253,   22,  -29,    4,    4
2460.000, 224,  90, 251, 252,   16,  -17,  -16,   23
2461.000, 183,  56, 253, 249,   -5,    5,  -24,   28
2462.000, 142,  24, 253, 253,  -22,   25,   -8,   17
2463.000, 102, 250, 251, 252,  -19,   31,   14,   -5
2464.000,  62, 221, 251, 251,    1,   20,   23,  -24
2465.000,  22, 189, 253, 252,   20,   -3,   12,  -31
