Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 140,  63, 252, 252,  -16,    1,   -5,   31
2401.000, 229, 160, 253, 253,   13,  -22,  -10,  -22
2402.000,  42, 243, 252, 254,    8,   29,   14,  -10
2403.000, 106,  60, 254, 254,  -14,    3,    8,   30
2404.000, 160, 127, 253, 252,  -12,  -30,  -11,    0
2405.000, 210, 190, 253, 253,    7,   -1,  -14,  -29
2406.000,   2, 254, 254, 251,   15,   30,    1,   -1
2407.000,  52,  61, 251, 255,    4,    2,   14,   29
2408.000, 100, 122, 252, 254,  -12,  -28,   10,    4
2409.000, 144, 182, 253, 253,  -15,   -7,   -6,  -27
2410.000, 190, 242, 251, 254,   -1,   27,  -16,  -10
2411.000, 232,  47, 255, 251,   13,   12,   -9,   26
2412.000,  21, 107, 250, 254,   12,  -26,    7,   14
2413.000,  66, 170, 253, 250,   -1,  -15,   14,  -24
2414.000, 111, 229, 252, 254,  -11,   21,    5,  -16
2415.000, 158,  33, 252, 254,   -8,   17,   -8,   18
2416.000, 204,  93, 253, 252,    3,  -15,  -10,   17
2417.000, 252, 147, 247, 253,   10,  -19,   -1,   -9
2418.000,  46, 206, 250, 254,    4,    6,    9,  -18
2419.000,  95,   4, 248, 253,   -7,   19,    8,    2
2420.000, 145,  59, 252, 253,  -11,    2,   -5,   19
2421.000, 190, 117, 252, 252,   -1,  -19,  -12,    5
2422.000, 239, 174, 252, 249,   11,   -9,   -5,  -19
2423.000,  28, 233, 252, 253,   10,   19,    8,  -12
2424.000,  78,  34, 253, 252,   -5,   16,   13,   17
2425.000, 121,  93, 252, 252,  -15,  -16,    3,   18
2426.000, 165, 148, 254, 253,  -11,  -23,  -13,  -12
2427.000, 207, 207, 254, 254,    7,   11,  -18,  -27
2428.000, 247,  10, 253, 252,   20,   31,   -4,    8
2429.000,  29,  71, 252, 254,   16,   -6,   13,   35
2430.000,  70, 135, 255, 254,   -3,  -37,   19,   -6
2431.000, 113, 200, 252, 253,  -18,    7,    7,  -38
2432.000, 156,   9, 250, 253,  -13,   36,  -11,    8
2433.000, 203,  72, 251, 252,    4,   -6,  -16,   35
2434.000, 248, 135, 253, 253,   15,  -31,   -3,   -5
2435.000,  35, 192, 250, 249,   10,    0,   11,  -30
2436.000,  79, 255, 251, 254,   -5,   29,   13,   -1
2437.000, 123,  58, 253, 254,  -12,    4,    2,   27
2438.000, 170, 118, 253, 252,   -5,  -25,   -8,    6
2439.000, 223, 179, 249, 253,    6,   -7,   -6,  -21
2440.000,  21, 232, 254, 254,    9,   16,    5,  -10
2441.000,  65,  28, 253, 251,    0,   13,   12,   11
2442.000, 107,  75, 252, 253,  -11,   -5,    6,   18
2443.000, 154, 138, 251, 251,  -10,  -22,   -7,   -5
2444.000, 201, 198, 252, 254,    3,    4,  -13,  -24
2445.000, 249,   4, 248, 254,   15,   23,   -3,    2
2446.000,  35,  62, 251, 255,   11,    1,   12,   25
2447.000,  75, 120, 252, 250,   -4,  -27,   16,    5
2448.000, 116, 183, 250, 255,  -15,   -7,    5,  -30
2449.000, 156, 247, 254, 252,  -11,   30,   -9,   -6
2450.000, 200,  54, 249, 251,    2,    7,  -12,   28
2451.000, 248, 117, 254, 253,   10,  -26,   -2,    7
2452.000,  45, 177, 252, 252,    4,   -8,    9,  -22
2453.000,  93, 231, 252, 254,   -7,   16,    8,  -11
2454.000, 139,  27, 250, 253,  -12,   14,   -3,   11
2455.000, 185,  82, 253, 252,   -2,   -9,  -13,   19
2456.000, 229, 142, 252, 251,   11,  -21,   -9,   -7
2457.000,  15, 203, 253, 251,   13,    6,    5,  -23
