Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,   8, 127, 255, 253,   16,  -30,    3,    1
2401.000, 190,  62, 252, 252,   -1,    2,  -17,   31
2402.000, 118, 253, 255, 252,  -16,   32,    4,   -2
2403.000,  45, 188, 254, 253,    8,   -3,   15,  -32
2404.000, 229, 125, 254, 254,   13,  -32,  -10,    3
2405.000, 157,  60, 253, 253,  -13,    4,  -11,   32
2406.000,  85, 250, 252, 253,   -9,   32,   16,   -4
2407.000,  12, 187, 253, 254,   17,   -4,    5,  -33
2408.000, 196, 122, 253, 252,    2,  -33,  -18,    5
2409.000, 124,  59, 253, 251,  -18,    4,    2,   34
2410.000,  51, 252, 253, 252,    6,   34,   17,   -3
2411.000, 236, 190, 253, 253,   16,   -2,   -8,  -34
2412.000, 163, 125, 253, 254,  -11,  -34,  -13,    2
2413.000,  92,  62, 251, 251,  -11,    2,   13,   34
2414.000,  20, 253, 253, 253,   15,   34,    8,   -2
2415.000, 203, 190, 254, 252,    4,   -2,  -16,  -33
2416.000, 131, 124, 254, 254,  -16,  -33,   -1,    3
2417.000,  59,  61, 253, 253,    2,    3,   16,   32
2418.000, 244, 254, 254, 252,   15,   32,   -5,   -2
2419.000, 172, 189, 253, 254,   -7,   -3,  -13,  -31
2420.000,  99, 122, 253, 251,  -11,  -30,   10,    4
2421.000,  29,  58, 250, 249,   11,    4,    9,   29
2422.000, 215, 250, 253, 253,    8,   28,  -12,   -4
2423.000, 145, 185, 251, 253,  -13,   -5,   -6,  -28
2424.000,  74, 120, 253, 254,   -3,  -28,   14,    5
2425.000,   0,  56, 254, 253,   14,    5,    0,   28
2426.000, 185, 248, 251, 252,   -2,   28,  -13,   -6
2427.000, 115, 183, 253, 252,  -12,   -6,    4,  -27
2428.000,  45, 121, 253, 252,    5,  -26,   11,    5
2429.000, 233,  55, 246, 252,   10,    6,   -6,   24
2430.000, 164, 246, 249, 252,   -8,   23,   -9,   -6
2431.000,  94, 177, 250, 253,   -8,   -8,    9,  -22
2432.000,  23, 111, 254, 253,   11,  -22,    7,   10
2433.000, 208,  44, 253, 253,    5,   12,  -12,   22
2434.000, 139, 236, 255, 254,  -12,   22,   -3,  -12
2435.000,  69, 172, 253, 253,   -2,  -12,   13,  -22
2436.000, 255, 106, 254, 253,   13,  -21,    0,   13
2437.000, 185,  40, 251, 252,   -2,   14,  -13,   21
2438.000, 115, 231, 253, 253,  -13,   21,    4,  -15
2439.000,  44, 166, 253, 253,    6,  -15,   12,  -21
2440.000, 230, 100, 254, 252,   11,  -20,   -8,   16
2441.000, 160,  35, 250, 252,  -10,   17,  -10,   20
2442.000,  91, 228, 250, 252,   -9,   21,   12,  -17
2443.000,  20, 161, 251, 250,   14,  -19,    7,  -20
2444.000, 204,  97, 254, 250,    5,  -21,  -15,   20
2445.000, 132,  31, 252, 251,  -16,   21,   -2,   21
2446.000,  63, 225, 252, 254,    1,   22,   17,  -21
2447.000, 248, 159, 253, 251,   17,  -23,   -3,  -22
2448.000, 177,  96, 253, 253,   -6,  -23,  -17,   23
2449.000, 105,  32, 253, 253,  -16,   24,   10,   23
2450.000,  33, 224, 255, 251,   13,   24,   14,  -24
2451.000, 218, 161, 254, 251,   11,  -25,  -15,  -25
2452.000, 146,  97, 252, 254,  -17,  -26,   -8,   25
2453.000,  74,  35, 254, 253,   -5,   24,   18,   28
2454.000,   4, 227, 253, 253,   19,   28,    2,  -24
2455.000, 190, 164, 254, 254,   -1,  -23,  -19,  -28
2456.000, 118, 100, 255, 253,  -19,  -28,    5,   23
2457.000,  46,  36, 252, 251,    9,   24,   18,   28
2458.000, 232, 228, 252, 254,   17,   29,  -12,  -23
2459.000, 161, 167, 253, 252,  -14,  -22,  -15,  -31
2460.000,  88, 103, 253, 253,  -11,  -32,   17,   22
2461.000,  17,  40, 254, 253,   19,   22,    8,   33
2462.000, 201, 234, 252, 251,    5,   33,  -20,  -21
2463.000, 129, 171, 253, 254,  -20,  -19,   -1,  -34
2464.000,  58, 108, 252, 254,    3,  -34,   20,   19
2465.000, 243,  45, 252, 253,   19,   17,   -6,   34
2466.000, 172, 238, 254, 250,   -9,   34,  -17,  -16
