Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 106,   4, 253, 253,  -33,   41,   20,    4
2401.000, 226, 141, 252, 252,   22,  -35,  -19,  -11
2402.000,  79,  18, 252, 252,   -6,   30,   14,   14
2403.000,   8, 146, 247, 251,    5,  -22,    1,  -11
2404.000, 127,  17, 248, 252,  -22,   12,    0,    6
2405.000, 229,  66, 254, 249,   31,    0,  -24,    4
2406.000,  69, 167, 251, 254,   -6,  -11,   55,  -15
2407.000, 161,  35, 253, 251,  -46,   22,  -48,   26
2408.000,   0, 162, 250, 251,   70,  -32,    0,  -35
2409.000,  98,  34, 252, 255,  -51,   38,   47,   43
2410.000, 199, 162, 251, 253,   11,  -41,  -69,  -44
2411.000,  39,  31, 250, 255,   41,   43,   58,   41
2412.000, 137, 151, 254, 252,  -62,  -50,  -14,  -32
2413.000, 234,  19, 253, 251,   51,   54,  -30,   27
2414.000,  78, 140, 252, 254,  -15,  -53,   43,  -16
2415.000, 187,   7, 250, 253,   -4,   51,  -36,    8
2416.000,  43, 125, 251, 252,   16,  -39,   29,    3
2417.000, 161, 238, 250, 252,  -27,   28,  -29,  -14
2418.000,   9,  88, 251, 252,   55,  -16,   12,   24
2419.000, 103, 188, 254, 254,  -54,   -3,   39,  -34
2420.000, 202,  49, 255, 251,   18,   17,  -72,   46
2421.000,  43, 173, 251, 250,   39,  -26,   70,  -52
2422.000, 142,  39, 252, 253,  -75,   37,  -27,   52
2423.000, 239, 163, 252, 254,   74,  -46,  -32,  -53
2424.000,  83,  28, 253, 252,  -32,   53,   64,   44
2425.000, 186, 151, 252, 255,  -10,  -59,  -69,  -37
2426.000,  31,  15, 250, 253,   51,   58,   48,   23
2427.000, 134, 132, 249, 253,  -73,  -61,  -10,   -5
2428.000, 231, 251, 254, 253,   66,   61,  -46,   -8
2429.000,  70, 111, 250, 252,  -12,  -58,   79,   27
2430.000, 165, 233, 254, 253,  -47,   59,  -61,  -37
2431.000, 255,  99, 253, 255,   62,  -53,   -2,   46
2432.000,  95, 225, 251, 253,  -28,   48,   30,  -46
2433.000, 214,  98, 252, 251,   10,  -41,  -16,   37
2434.000,  98, 223, 251, 254,  -18,   24,   17,  -26
2435.000, 204,  70, 252, 254,   12,   -2,  -40,   16
2436.000,  46, 150, 252, 253,   24,  -19,   50,  -11
2437.000, 145,   6, 251, 252,  -58,   36,  -25,    5
2438.000, 240, 129, 252, 254,   67,  -48,  -27,   -1
2439.000,  80, 250, 253, 254,  -28,   54,   68,   -8
2440.000, 175, 117, 250, 251,  -29,  -61,  -67,   17
2441.000,  17, 240, 250, 252,   61,   59,   26,  -25
2442.000, 115, 108, 251, 252,  -59,  -56,   20,   30
2443.000, 214, 229, 250, 253,   30,   45,  -49,  -36
2444.000,  63,  95, 252, 253,    0,  -36,   49,   39
2445.000, 167, 213, 253, 252,  -26,   25,  -37,  -42
2446.000,  19,  77, 250, 253,   40,  -13,   20,   41
2447.000, 121, 191, 252, 254,  -44,   -1,    8,  -39
2448.000, 225,  49, 250, 254,   33,   15,  -32,   36
2449.000,  69, 166, 252, 252,   -5,  -23,   49,  -31
2450.000, 168,  27, 251, 254,  -26,   32,  -39,   25
2451.000,   8, 147, 251, 251,   44,  -38,    9,  -19
2452.000, 103,  11, 250, 249,  -28,   39,   20,   11
2453.000, 210, 133, 252, 252,    9,  -39,  -19,   -5
2454.000,  81,   2, 249, 253,   -7,   30,   16,    1
2455.000, 201, 114, 252, 251,    5,  -17,  -23,    6
2456.000,  49, 208, 254, 251,   13,    6,   34,  -14
2457.000, 148,  49, 250, 251,  -40,    7,  -21,   19
2458.000, 246, 166, 251, 251,   49,  -19,  -12,  -26
2459.000,  90,  33, 250, 250,  -30,   26,   42,   28
2460.000, 189, 155, 253, 252,   -4,  -34,  -54,  -27
2461.000,  33,  20, 248, 253,   40,   40,   42,   22
2462.000, 131, 140, 251, 254,  -63,  -45,   -5,  -13
2463.000, 224,   3, 252, 251,   42,   49,  -41,    3
2464.000,  66, 125, 253, 250,   -3,  -53,   50,    4
2465.000, 166, 250, 255, 251,  -23,   50,  -32,   -7
2466.000,  22, 115, 253, 253,   28,  -40,   17,   13
2467.000, 132, 233, 253, 253,  -34,   27,   -4,  -17
2468.000, 242,  85, 249, 255,   37,  -14,  -14,   24
2469.000,  87, 193, 250, 249,  -25,    1,   40,  -29
2470.000, 188,  51, 251, 253,   -5,   11,  -53,   33
2471.000,  28, 169, 249, 250,   41,  -22,   33,  -34
2472.000, 125,  35, 251, 254,  -47,   30,    4,   35
2473.000, 229, 158, 251, 252,   30,  -33,  -23,  -31
2474.000,  81,  24, 250, 252,  -14,   33,   31,   22
2475.000, 199, 139, 252, 255,    6,  -31,  -35,   -9
2476.000,  49, 251, 252, 251,   17,   28,   44,   -4
2477.000, 150,  97, 254, 255,  -53,  -22,  -31,   21
2478.000, 245, 209, 255, 255,   65,   16,  -18,  -37
2479.000,  86,  73, 252, 252,  -36,  -11,   59,   50

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000, 224, 159, 250, 255,   28,  -25,  -28,  -24
2401.000,  65,  23, 252, 253,   -1,   29,   41,   18
2402.000, 164, 139, 252, 252,  -25,  -33,  -31,   -9
2403.000,   5,   3, 248, 252,   39,   34,    5,    2
2404.000, 103, 122, 252, 252,  -30,  -33,   22,    5
2405.000, 198, 245, 254, 254,    5,   32,  -33,   -9
2406.000,  38, 111, 251, 253,   15,  -29,   20,   13
2407.000, 138, 236, 248, 251,  -14,   25,   -3,  -13
2408.000,  16, 105, 253, 252,    7,  -18,    3,   12
2409.000, 143, 225, 250, 251,  -14,    9,   -6,   -8
2410.000, 241,  57, 251, 248,   17,    1,   -7,    6
2411.000,  95, 151, 252, 251,  -13,  -11,   14,   -7
2412.000, 202,  17, 250, 254,    5,   14,  -22,    6
2413.000,  49, 127, 252, 251,   10,  -17,   27,    0
