Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 159, 160, 253, 252,  -12,  -18,  -11,  -18
2401.000,  32,  34, 252, 252,   12,   18,   12,   19
2402.000, 152, 158, 250, 252,  -14,  -21,   -9,  -18
2403.000,  15,  23, 254, 255,   15,   25,    6,   16
2404.000, 132, 142, 253, 255,  -17,  -27,   -2,  -10
2405.000, 244, 255, 251, 255,   20,   29,   -6,    0
2406.000,  97, 112, 254, 252,  -16,  -29,   16,   12
2407.000, 205, 226, 252, 254,    8,   27,  -23,  -24
2408.000,  58,  87, 251, 253,    4,  -21,   27,   34
2409.000, 166, 203, 252, 253,  -18,   12,  -24,  -42
2410.000,  16,  63, 253, 254,   31,    0,   13,   48
2411.000, 122, 180, 250, 255,  -36,  -15,    6,  -51
2412.000, 224,  41, 252, 253,   27,   32,  -27,   51
2413.000,  71, 160, 253, 249,   -7,  -46,   38,  -46
2414.000, 177,  22, 255, 255,  -14,   59,  -35,   36
2415.000,  28, 142, 251, 250,   30,  -65,   24,  -23
2416.000, 133,   3, 253, 253,  -40,   67,   -5,    5
2417.000, 239, 116, 251, 254,   39,  -66,  -18,   19
2418.000,  85, 231, 253, 254,  -21,   59,   38,  -41
2419.000, 191,  92, 253, 255,   -1,  -49,  -44,   59
2420.000,  42, 210, 254, 254,   23,   34,   39,  -70
2421.000, 150,  72, 253, 251,  -40,  -16,  -23,   78
2422.000,   2, 189, 253, 253,   48,   -6,    3,  -81
2423.000, 108,  49, 252, 253,  -45,   29,   24,   77
2424.000, 214, 164, 250, 253,   29,  -53,  -48,  -66
2425.000,  61,  24, 254, 253,    4,   76,   61,   50
2426.000, 164, 141, 253, 251,  -40,  -95,  -50,  -32
2427.000,  10,   3, 254, 255,   64,  109,   16,    8
2428.000, 112, 122, 251, 249,  -61, -113,   25,   16
2429.000, 215, 242, 252, 254,   34,  112,  -54,  -39
2430.000,  62, 105, 251, 252,    4,  -99,   64,   64
2431.000, 165, 223, 251, 255,  -38,   79,  -49,  -84
2432.000,  14,  87, 253, 253,   58,  -62,   21,   96
2433.000, 118, 207, 255, 251,  -56,   40,   14, -105
2434.000, 225,  70, 250, 254,   40,  -15,  -38,  110
2435.000,  74, 188, 250, 255,  -12,  -10,   51, -103
2436.000, 180,  50, 253, 253,  -14,   34,  -48,   92
2437.000,  30, 166, 251, 254,   35,  -55,   32,  -76
2438.000, 138,  26, 252, 254,  -46,   72,  -11,   54
2439.000, 244, 143, 253, 250,   47,  -80,  -14,  -31
2440.000,  94,   0, 253, 252,  -33,   85,   37,    1
2441.000, 194, 114, 252, 254,    3,  -81,  -51,   30
2442.000,  41, 230, 254, 254,   27,   71,   43,  -54
2443.000, 145,  95, 253, 249,  -46,  -63,  -21,   66
2444.000, 248, 212, 254, 253,   47,   43,   -9,  -80
2445.000,  97,  79, 254, 248,  -33,  -33,   31,   85
2446.000, 202, 201, 251, 250,    9,   18,  -40,  -83
2447.000,  49,  63, 253, 254,   13,    1,   35,   80
2448.000, 152, 182, 253, 255,  -26,  -17,  -17,  -70
2449.000,   2,  44, 252, 253,   25,   31,    1,   58
2450.000, 111, 165, 252, 252,  -18,  -34,    9,  -44
2451.000, 224,  24, 253, 254,   12,   37,  -12,   25
2452.000,  81, 137, 254, 254,   -6,  -35,   14,   -8
2453.000, 196, 245, 253, 251,    1,   29,  -14,   -8
2454.000,  56,  98, 251, 253,    3,  -19,   14,   18
2455.000, 170, 205, 252, 250,   -9,    8,  -14,  -23
2456.000,  23,  54, 253, 249,   17,    6,   10,   25
2457.000, 129, 164, 252, 253,  -22,  -18,    0,  -22
2458.000, 236,  23, 253, 252,   19,   29,  -10,   18
2459.000,  88, 141, 251, 252,  -12,  -36,   19,  -11
2460.000, 196,   1, 253, 252,    2,   38,  -24,    1
2461.000,  46, 114, 253, 253,   11,  -37,   23,   13
2462.000, 151, 229, 253, 254,  -22,   33,  -14,  -26
2463.000,   3,  89, 252, 253,   26,  -25,    2,   36
2464.000, 110, 204, 252, 252,  -25,   13,   12,  -43
2465.000, 218,  63, 253, 253,   17,    2,  -24,   46
2466.000,  64, 175, 251, 255,    0,  -19,   32,  -43
2467.000, 169,  34, 251, 255,  -18,   34,  -28,   38
2468.000,  19, 150, 252, 254,   30,  -47,   15,  -28
2469.000, 127,  15, 253, 255,  -34,   54,    1,   21
2470.000, 234, 134, 251, 252,   30,  -57,  -18,   -9
2471.000,  86, 250, 253, 254,  -19,   56,   32,   -9
2472.000, 189, 109, 252, 252,   -3,  -53,  -40,   27
2473.000,  37, 224, 251, 252,   26,   45,   33,  -45
2474.000, 140,  86, 249, 254,  -42,  -36,  -13,   58
2475.000, 243, 204, 249, 255,   43,   21,  -15,  -68
2476.000,  88,  67, 250, 252,  -26,   -6,   39,   74
2477.000, 190, 186, 253, 248,   -3,  -12,  -45,  -75
2478.000,  37,  50, 253, 252,   26,   27,   33,   73
2479.000, 141, 170, 254, 249,  -38,  -38,  -13,  -65

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000, 210, 253, 250, 250,   12,   24,  -25,   -2
2401.000,  61, 106, 253, 252,    2,  -20,   28,   12
2402.000, 165, 220, 251, 253,  -17,   14,  -22,  -18
2403.000,  17,  77, 252, 253,   25,   -7,   11,   22
2404.000, 126, 193, 254, 254,  -28,    1,    2,  -24
2405.000, 232,  52, 252, 252,   25,    7,  -17,   22
2406.000,  81, 166, 254, 255,  -12,  -15,   28,  -19
2407.000, 186,  27, 254, 253,   -4,   20,  -28,   15
2408.000,  38, 144, 252, 250,   17,  -24,   22,   -9
2409.000, 145,   6, 250, 251,  -25,   24,  -11,    4
2410.000, 254, 121, 252, 253,   25,  -23,   -2,    4
2411.000, 110, 238, 253, 253,  -21,   21,   10,  -10
2412.000, 220,  97, 251, 254,   15,  -15,  -19,   15
2413.000,  72, 208, 251, 253,   -5,    8,   26,  -19
2414.000, 178,  63, 251, 255,   -9,    0,  -25,   21
2415.000,  29, 176, 252, 252,   21,   -9,   18,  -21
2416.000, 136,  34, 255, 253,  -27,   15,   -5,   17
2417.000, 243, 149, 253, 255,   25,  -21,   -8,  -12
2418.000,  98,   9, 255, 254,  -20,   23,   18,    5
2419.000, 207, 122, 253, 255,   11,  -23,  -28,    4
2420.000,  59, 234, 253, 254,    5,   20,   34,  -12
2421.000, 163,  91, 250, 254,  -24,  -15,  -29,   20
2422.000,  13, 208, 251, 254,   36,   11,   12,  -28
2423.000, 119,  71, 251, 253,  -38,   -5,    9,   32
2424.000, 224, 187, 251, 253,   28,   -4,  -28,  -32
2425.000,  75,  48, 255, 254,  -11,   13,   39,   31
2426.000, 180, 164, 254, 254,  -13,  -22,  -41,  -27
2427.000,  28,  24, 253, 252,   34,   29,   28,   19
2428.000, 133, 140, 252, 252,  -44,  -35,   -5,  -11
2429.000, 238,   1, 250, 252,   41,   38,  -19,    1
2430.000,  86, 116, 252, 254,  -22,  -36,   38,   11
2431.000, 192, 234, 251, 252,    0,   33,  -44,  -20
2432.000,  44,  95, 251, 252,   20,  -26,   39,   28
2433.000, 153, 211, 251, 252,  -37,   17,  -26,  -34
2434.000,   4,  71, 249, 254,   47,   -7,    4,   37
2435.000, 110, 186, 249, 254,  -44,   -6,   22,  -38
2436.000, 214,  46, 252, 253,   26,   17,  -44,   36
2437.000,  63, 162, 253, 252,    1,  -29,   52,  -31
2438.000, 168,  23, 252, 254,  -30,   37,  -45,   23
2439.000,  16, 140, 253, 253,   51,  -43,   21,  -12
2440.000, 119, 255, 253, 250,  -55,   46,   12,    0
2441.000, 220, 115, 252, 253,   35,  -45,  -42,   15
2442.000,  70, 236, 252, 252,   -8,   43,   53,  -23
2443.000, 173,  97, 251, 253,  -23,  -34,  -47,   32
2444.000,  24, 218, 251, 254,   41,   27,   28,  -37
2445.000, 127,  79, 253, 255,  -48,  -16,    0,   42
2446.000, 234, 196, 250, 252,   38,    5,  -23,  -43
2447.000,  84,  58, 251, 253,  -20,    6,   37,   41
2448.000, 191, 176, 246, 250,   -1,  -15,  -40,  -35
2449.000,  41,  35, 252, 253,   20,   23,   31,   27
2450.000, 149, 150, 250, 255,  -30,  -29,  -17,  -17
2451.000,   1,   9, 250, 255,   33,   31,    1,    7
2452.000, 109, 123, 252, 254,  -29,  -29,   15,    4
2453.000, 218, 236, 252, 251,   20,   25,  -27,  -14
2454.000,  67,  91, 253, 253,   -2,  -17,   34,   22
2455.000, 175, 205, 253, 252,  -14,    9,  -32,  -27
2456.000,  26,  64, 253, 250,   28,    0,   21,   29
2457.000, 133, 180, 251, 252,  -36,   -8,   -4,  -29
2458.000, 239,  42, 253, 254,   32,   16,  -14,   26
2459.000,  90, 158, 250, 253,  -20,  -23,   27,  -20
2460.000, 197,  20, 253, 249,    4,   26,  -33,   14
2461.000,  47, 134, 253, 254,   13,  -29,   31,   -4
2462.000, 154, 248, 253, 254,  -26,   28,  -19,   -5
2463.000,   5, 107, 252, 253,   32,  -25,    4,   14
2464.000, 113, 223, 252, 253,  -29,   19,   11,  -20
2465.000, 221,  81, 252, 255,   21,  -11,  -24,   25
2466.000,  69, 192, 254, 251,   -4,    0,   31,  -26
2467.000, 177,  52, 253, 252,  -11,    8,  -30,   26
2468.000,  30, 169, 252, 250,   25,  -14,   22,  -23
2469.000, 136,  26, 254, 254,  -34,   22,   -6,   16
2470.000, 244, 142, 253, 253,   33,  -27,  -10,   -9
2471.000,  94,   2, 253, 253,  -22,   29,   25,    2
2472.000, 202, 118, 252, 254,    8,  -28,  -33,    7
2473.000,  54, 233, 252, 252,    9,   24,   35,  -15
2474.000, 160,  91, 254, 253,  -27,  -17,  -27,   23
2475.000,   7, 205, 254, 252,   39,    9,    7,  -29
2476.000, 112,  66, 254, 253,  -37,   -1,   15,   32
2477.000, 218, 182, 251, 252,   23,   -8,  -31,  -33
2478.000,  67,  43, 252, 253,   -3,   16,   38,   29
2479.000, 173, 159, 253, 255,  -17,  -23,  -34,  -22

[ANTENNA_MEASUREMENT_VALUE_2]
2400.000,   0,  22, 253, 252,   19,   13,    0,    8
2401.000, 105, 137, 253, 254,  -16,  -15,   11,   -3
2402.000, 209, 251, 253, 252,    8,   16,  -19,   -2
2403.000,  58, 111, 251, 252,    3,  -15,   20,    7
2404.000, 163, 227, 252, 252,  -13,   13,  -15,  -11
2405.000,  13,  88, 254, 253,   20,  -10,    6,   15
2406.000, 117, 205, 250, 252,  -20,    5,    6,  -17
2407.000, 223,  65, 252, 251,   14,    0,  -14,   18
2408.000,  75, 183, 253, 253,   -5,   -4,   18,  -17
2409.000, 184,  44, 253, 253,   -3,    8,  -18,   15
2410.000,  36, 159, 251, 252,   12,  -11,   15,  -11
2411.000, 143,  19, 254, 252,  -18,   14,   -7,    7
2412.000, 251, 132, 253, 253,   19,  -16,   -2,   -2
2413.000, 103, 248, 253, 250,  -15,   16,   11,   -3
2414.000, 212, 106, 253, 255,    9,  -13,  -18,    8
2415.000,  63, 218, 250, 253,    1,    9,   22,  -13
2416.000, 166,  73, 252, 251,  -14,   -3,  -19,   16
2417.000,  15, 187, 253, 253,   23,   -2,    9,  -18
2418.000, 119,  45, 255, 255,  -25,    9,    6,   18
2419.000, 225, 164, 252, 252,   20,  -13,  -19,  -16
2420.000,  74,  26, 250, 252,   -7,   17,   28,   12
2421.000, 178, 143, 252, 254,  -10,  -21,  -28,   -8
2422.000,  28,   7, 251, 251,   23,   23,   19,    4
2423.000, 130, 124, 253, 253,  -29,  -24,   -2,    3
2424.000, 234, 242, 251, 250,   24,   23,  -15,   -8
2425.000,  82, 104, 252, 252,  -11,  -20,   23,   13
2426.000, 188, 223, 254, 252,   -2,   16,  -23,  -17
2427.000,  41,  84, 253, 253,   12,  -10,   19,   19
2428.000, 149, 198, 252, 254,  -19,    3,  -11,  -19
2429.000,   4,  55, 252, 253,   23,    4,    2,   18
2430.000, 108, 166, 251, 254,  -22,  -10,   12,  -14
2431.000, 215,  21, 253, 251,   15,   16,  -24,    9
2432.000,  61, 137, 253, 253,    2,  -20,   29,   -5
2433.000, 166, 255, 253, 255,  -17,   23,  -23,    0
2434.000,  14, 120, 251, 253,   27,  -23,   10,    5
2435.000, 116, 238, 253, 253,  -26,   21,    8,  -10
2436.000, 220, 101, 253, 253,   16,  -18,  -20,   15
2437.000,  70, 220, 255, 254,   -3,   14,   22,  -17
2438.000, 176,  81, 253, 252,   -8,   -8,  -18,   19
2439.000,  30, 198, 252, 252,   13,    3,   12,  -18
2440.000, 143,  56, 252, 252,  -16,    3,   -6,   16
2441.000, 253, 165, 251, 252,   17,   -9,   -1,  -11
2442.000, 105,  20, 251, 253,  -17,   12,   11,    6
2443.000, 214, 129, 252, 249,   11,  -14,  -19,    0
2444.000,  62, 241, 251, 253,    2,   15,   24,   -6
