Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  10, 118, 253, 248,   18,  -23,    4,    6
2401.000, 239, 101, 253, 251,   17,  -19,   -8,   15
2402.000, 203,  76, 251, 252,    5,   -7,  -18,   23
2403.000, 165,  48, 252, 253,  -12,    9,  -15,   22
2404.000, 121,  16, 253, 254,  -19,   22,    3,    9
2405.000,  75, 237, 252, 253,   -5,   21,   19,  -11
2406.000,  27, 202, 252, 251,   16,    6,   12,  -23
2407.000, 235, 167, 251, 253,   17,  -14,  -10,  -21
2408.000, 185, 133, 254, 253,   -3,  -25,  -19,   -3
2409.000, 137, 100, 253, 252,  -18,  -20,   -4,   16
2410.000,  90,  68, 252, 251,  -10,   -2,   14,   25
2411.000,  43,  35, 253, 251,    8,   16,   14,   18
2412.000, 251, 254, 254, 251,   15,   22,   -2,   -1
2413.000, 204, 218, 254, 252,    4,   12,  -13,  -17
2414.000, 158, 181, 251, 253,   -9,   -5,   -8,  -19
2415.000, 116, 144, 252, 251,  -11,  -16,    4,   -7
2416.000,  72, 105, 251, 252,   -2,  -14,   13,    9
2417.000,  25,  61, 252, 254,   11,    1,    8,   15
2418.000, 229,  17, 251, 252,   12,   15,   -9,    7
2419.000, 182, 237, 253, 251,   -4,   16,  -15,   -8
2420.000, 132, 201, 254, 253,  -14,    4,   -1,  -18
2421.000,  84, 167, 255, 251,   -6,  -11,   12,  -16
2422.000,  38, 133, 252, 254,    7,  -19,    9,   -2
2423.000, 253,  99, 250, 251,   11,  -13,   -1,   11
2424.000, 213,  61, 250, 253,    5,    1,   -9,   15
2425.000, 172,  17, 250, 251,   -6,   12,  -10,    6
2426.000, 127, 230, 248, 250,  -14,   11,    0,   -8
2427.000,  79, 185, 251, 253,   -6,   -3,   15,  -15
2428.000,  29, 145, 253, 252,   14,  -16,   12,   -7
2429.000, 234, 109, 253, 254,   16,  -18,  -10,    9
2430.000, 181,  73, 250, 253,   -5,   -5,  -18,   23
2431.000, 133,  39, 252, 252,  -18,   14,   -2,   20
2432.000,  89,   8, 253, 252,  -10,   24,   15,    5
2433.000,  43, 228, 252, 251,    9,   18,   16,  -15
2434.000, 252, 190, 253, 251,   21,   -1,   -2,  -24
2435.000, 203, 152, 253, 253,    6,  -21,  -21,  -13
2436.000, 153, 114, 254, 252,  -19,  -25,  -13,    9
2437.000, 101,  81, 252, 254,  -18,  -11,   14,   26
2438.000,  52,  46, 252, 255,    7,   13,   21,   27
2439.000,   4,  13, 252, 253,   21,   29,    2,    9
2440.000, 213, 234, 252, 254,   10,   25,  -18,  -15
2441.000, 165, 198, 254, 252,  -12,    4,  -16,  -27
2442.000, 117, 156, 253, 253,  -20,  -21,    6,  -17
2443.000,  72, 120, 253, 253,   -4,  -26,   21,    5
2444.000,  26,  81, 251, 253,   18,  -11,   14,   25
2445.000, 235,  46, 253, 253,   21,   12,  -12,   26
2446.000, 189,  10, 254, 252,   -2,   29,  -26,    7
2447.000, 139, 229, 254, 254,  -27,   25,   -8,  -19
2448.000,  87, 193, 254, 252,  -16,    1,   25,  -34
2449.000,  36, 157, 253, 252,   19,  -28,   23,  -24
2450.000, 241, 124, 253, 254,   29,  -39,  -11,    4
2451.000, 191,  91, 254, 253,   -1,  -24,  -30,   31
2452.000, 140,  56, 253, 254,  -28,    7,   -9,   39
2453.000,  90,  22, 254, 254,  -17,   33,   23,   20
2454.000,  38, 242, 254, 253,   16,   36,   22,  -13
2455.000, 247, 209, 253, 252,   26,   15,   -6,  -33
2456.000, 198, 174, 253, 254,    4,  -15,  -26,  -32
2457.000, 149, 140, 251, 252,  -22,  -33,  -12,   -9
2458.000, 100, 106, 253, 252,  -19,  -29,   16,   18
2459.000,  52,  71, 250, 252,    7,   -6,   22,   32
2460.000,   3,  36, 252, 253,   22,   20,    2,   24
2461.000, 211,   1, 253, 252,    9,   30,  -19,    1
2462.000, 162, 222, 253, 253,  -14,   19,  -15,  -21
2463.000, 113, 186, 253, 254,  -17,   -4,    7,  -27
2464.000,  66, 150, 254, 250,   -1,  -22,   17,  -14
2465.000,  18, 115, 251, 253,   15,  -22,    7,    8
2466.000, 227,  74, 252, 253,   11,   -5,  -10,   21
2467.000, 182,  38, 255, 251,   -4,   12,  -15,   16
2468.000, 136, 254, 252, 250,  -14,   19,   -3,   -1
2469.000,  89, 218, 254, 255,   -8,   11,   12,  -15
2470.000,  45, 183, 254, 254,    6,   -4,   12,  -18
2471.000, 253, 146, 251, 249,   13,  -16,   -1,   -8
2472.000, 207, 109, 252, 253,    4,  -15,  -11,    8
2473.000, 162,  73, 251, 252,   -7,   -3,   -8,   15
2474.000, 124,  34, 255, 254,  -10,   10,    1,   11
2475.000,  82, 250, 252, 251,   -5,   13,   10,   -2
2476.000,  35, 204, 251, 250,    8,    4,   10,  -12
2477.000, 242, 161, 250, 251,   13,  -10,   -4,  -10
2478.000, 195, 124, 254, 253,    1,  -16,  -14,    2
2479.000, 149,  87, 253, 252,  -12,   -9,   -7,   14

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000, 143,  10, 253, 253,  -32,   29,  -13,    7
2401.000,  93, 227, 253, 253,  -23,   23,   27,  -19
2402.000,  44, 190, 255, 252,   17,   -2,   32,  -30
2403.000, 252, 153, 254, 252,   36,  -25,   -4,  -18
2404.000, 203, 116, 254, 251,   10,  -30,  -36,    9
2405.000, 153,  81, 254, 252,  -31,  -12,  -22,   29
2406.000, 106,  44, 254, 253,  -32,   15,   19,   29
2407.000,  58,  11, 254, 253,    6,   32,   36,    8
2408.000,  12, 232, 254, 252,   34,   26,   10,  -18
2409.000, 222, 196, 250, 252,   25,    3,  -27,  -31
2410.000, 176, 159, 254, 253,  -15,  -22,  -36,  -21
2411.000, 129, 122, 252, 253,  -43,  -32,    0,    5
2412.000,  77,  85, 249, 253,  -13,  -17,   42,   29
2413.000,  25,  50, 252, 252,   37,   12,   26,   35
2414.000, 230,  17, 252, 251,   34,   35,  -25,   15
2415.000, 180, 239, 253, 254,  -11,   35,  -38,  -15
2416.000, 131, 207, 254, 252,  -38,   13,   -2,  -34
2417.000,  84, 171, 254, 252,  -16,  -17,   32,  -30
2418.000,  36, 133, 252, 253,   22,  -32,   27,   -4
2419.000, 244,  97, 253, 254,   33,  -23,  -10,   21
2420.000, 200,  61, 254, 253,    6,    3,  -34,   30
2421.000, 152,  25, 254, 251,  -29,   24,  -20,   17
2422.000, 106, 244, 251, 251,  -30,   28,   18,   -8
2423.000,  58, 208, 251, 252,    6,   11,   36,  -28
2424.000,   8, 171, 251, 252,   35,  -15,    6,  -27
2425.000, 216, 136, 252, 253,   19,  -31,  -29,   -6
2426.000, 167, 101, 255, 254,  -19,  -24,  -28,   19
2427.000, 120,  65, 254, 253,  -33,   -1,    7,   30
2428.000,  72,  29, 252, 252,   -6,   22,   33,   19
2429.000,  24, 248, 253, 250,   27,   28,   18,   -5
2430.000, 229, 210, 251, 251,   26,   12,  -20,  -26
2431.000, 180, 174, 252, 251,   -9,  -12,  -32,  -25
2432.000, 131, 139, 252, 251,  -33,  -28,   -3,   -8
2433.000,  82, 105, 253, 253,  -13,  -24,   27,   16
2434.000,  35,  72, 252, 252,   18,   -5,   21,   28
2435.000, 243,  37, 252, 253,   23,   16,   -8,   21
2436.000, 202,   1, 253, 253,    5,   24,  -22,    1
2437.000, 159, 221, 251, 252,  -16,   14,  -15,  -16
2438.000, 116, 179, 250, 253,  -24,   -6,    7,  -18
2439.000,  67, 137, 254, 253,   -2,  -19,   28,   -4
2440.000,  17,  96, 254, 254,   27,  -15,   12,   15
2441.000, 220,  60, 252, 252,   20,    3,  -24,   24
2442.000, 166,  23, 254, 254,  -18,   22,  -25,   14
2443.000, 118, 248, 252, 252,  -28,   27,    7,   -6
2444.000,  67, 217, 253, 253,   -2,   15,   27,  -21
2445.000,  20, 183, 253, 252,   22,   -5,   11,  -25
2446.000, 228, 151, 255, 252,   16,  -19,  -13,  -12
2447.000, 184, 116, 251, 252,   -3,  -20,  -16,    6
2448.000, 145,  81, 250, 253,  -14,   -7,   -7,   16
2449.000, 104,  42, 254, 253,  -13,    7,    9,   12
2450.000,  60, 252, 251, 252,    2,   14,   17,   -1
2451.000,  14, 209, 252, 253,   17,    6,    6,  -12
2452.000, 223, 170, 254, 252,   13,   -8,  -14,  -13
2453.000, 175, 131, 254, 251,   -8,  -16,  -18,   -1
2454.000, 125,  92, 253, 254,  -20,  -10,    2,   13
2455.000,  78,  56, 252, 252,   -6,    3,   19,   17
2456.000,  30,  21, 253, 252,   15,   15,   13,    8
2457.000, 240, 242, 255, 254,   18,   16,   -8,   -6
2458.000, 191, 208, 255, 251,    0,    6,  -17,  -15
2459.000, 149, 171, 250, 253,  -13,   -8,   -7,  -14
2460.000, 110, 137, 253, 252,  -14,  -15,    6,   -3
2461.000,  67,  95, 252, 253,   -1,   -9,   16,    9
2462.000,  22,  51, 254, 251,   16,    4,    9,   12
2463.000, 232,  10, 252, 253,   15,   14,  -11,    3
2464.000, 185, 227, 250, 253,   -3,   12,  -20,  -10
2465.000, 138, 188, 253, 255,  -22,   -2,   -5,  -16
2466.000,  87, 146, 251, 252,  -12,  -16,   20,   -8
2467.000,  41, 111, 253, 251,   13,  -18,   21,    8
2468.000, 252,  74, 254, 250,   26,   -4,   -3,   19
2469.000, 203,  39, 252, 252,    7,   12,  -27,   17
2470.000, 152,   3, 253, 252,  -24,   22,  -16,    2
2471.000, 107, 226, 254, 252,  -24,   18,   13,  -16
2472.000,  59, 191, 252, 251,    3,    0,   28,  -24
2473.000,  13, 155, 253, 253,   27,  -19,    9,  -14
2474.000, 223, 117, 255, 254,   21,  -23,  -22,    6
2475.000, 175,  79, 255, 250,  -13,   -9,  -29,   23
2476.000, 126,  42, 253, 251,  -34,   13,    1,   23
2477.000,  77,   7, 252, 255,  -11,   27,   34,    4
2478.000,  28, 227, 254, 253,   29,   22,   23,  -19
2479.000, 234, 192, 250, 252,   32,    0,  -19,  -30

[ANTENNA_MEASUREMENT_VALUE_2]
2400.000, 133, 196, 253, 253,  -27,    2,   -4,  -22
2401.000,  79, 163, 252, 251,  -10,  -18,   27,  -22
2402.000,  27, 133, 255, 253,   23,  -32,   18,   -4
2403.000, 233, 100, 252, 253,   24,  -26,  -15,   21
2404.000, 187,  68, 251, 255,   -4,   -3,  -29,   34
2405.000, 139,  33, 253, 252,  -31,   23,   -8,   24
2406.000,  88, 251, 253, 250,  -19,   34,   28,   -5
2407.000,  38, 217, 253, 253,   21,   21,   28,  -31
2408.000, 244, 183, 252, 252,   34,   -9,  -10,  -39
2409.000, 195, 151, 253, 252,    3,  -35,  -34,  -22
2410.000, 146, 118, 255, 250,  -30,  -40,  -14,   10
2411.000, 101,  86, 252, 252,  -25,  -20,   20,   35
2412.000,  54,  50, 252, 253,    8,   13,   30,   36
2413.000,   9,  13, 252, 253,   29,   35,    6,   12
2414.000, 220, 233, 253, 251,   20,   30,  -25,  -19
2415.000, 172, 191, 250, 253,  -16,    0,  -30,  -35
2416.000, 122, 156, 252, 254,  -37,  -29,    6,  -23
