Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000,  47, 225, 250, 253,    8,   19,   18,  -18
2401.000, 192, 133, 251, 251,    0,  -26,  -16,   -3
2402.000,  76,  28, 247, 250,   -4,   18,   14,   15
2403.000, 207, 171, 252, 253,    5,  -10,  -14,  -18
2404.000,  76,  47, 252, 253,   -5,    7,   17,   16
2405.000, 190, 174, 254, 251,   -1,   -8,  -20,  -17
2406.000,  45,  48, 252, 250,    9,    8,   18,   20
2407.000, 156, 183, 253, 251,  -15,   -5,  -13,  -24
2408.000,  13,  63, 251, 255,   18,    0,    6,   25
2409.000, 127, 199, 251, 253,  -18,    4,    0,  -24
2410.000, 240,  76, 252, 253,   15,   -6,   -6,   22
2411.000, 102, 209, 253, 251,  -12,    9,    9,  -20
2412.000, 214,  84, 252, 252,    8,   -9,  -13,   18
2413.000,  75, 211, 252, 252,   -4,    9,   14,  -17
2414.000, 192,  86, 252, 253,    0,  -10,  -14,   16
2415.000,  51, 213, 251, 252,    5,    9,   15,  -15
2416.000, 163,  81, 252, 252,  -11,   -7,  -12,   16
2417.000,  16, 212, 252, 252,   16,    9,    7,  -18
2418.000, 126,  85, 247, 253,  -16,  -10,    1,   18
2419.000, 239, 219, 253, 251,   15,   13,   -6,  -17
2420.000,  99,  96, 252, 251,  -12,  -15,   11,   15
2421.000, 212, 227, 252, 253,    7,   15,  -15,  -13
2422.000,  68, 100, 250, 253,   -2,  -16,   17,   13
2423.000, 177, 233, 250, 252,   -6,   17,  -16,  -11
2424.000,  30, 108, 250, 255,   13,  -19,   11,   10
2425.000, 142, 243, 253, 253,  -15,   20,   -5,   -7
2426.000, 253, 120, 249, 253,   16,  -21,   -1,    4
2427.000, 102, 253, 252, 253,  -12,   19,   10,   -1
2428.000, 212, 129, 251, 251,    6,  -20,  -13,    0
2429.000,  61,  10, 252, 251,    1,   19,   13,    5
2430.000, 168, 143, 248, 252,   -6,  -17,   -9,   -6
2431.000,  21,  24, 250, 252,   10,   14,    6,    9
2432.000, 124, 160, 254, 252,  -10,  -10,    1,  -10
2433.000, 230,  38, 250, 251,    8,    8,   -6,   11
2434.000,  74, 181, 252, 251,   -2,   -3,    9,  -12
2435.000, 171,  61, 250, 251,   -4,    1,   -7,   12
2436.000,  18, 207, 250, 252,    8,    4,    4,  -11
2437.000, 117,  95, 253, 252,   -9,   -7,    2,    8
2438.000, 222, 238, 248, 247,    7,   10,   -8,   -5
2439.000,  66, 124, 253, 252,   -1,  -11,   13,    1
2440.000, 166,   7, 252, 253,   -8,   13,  -11,    2
2441.000,  13, 149, 251, 252,   15,  -14,    5,   -8
2442.000, 112,  36, 251, 253,  -15,   11,    6,   13
2443.000, 216, 175, 250, 254,    9,   -8,  -14,  -17
2444.000,  62,  63, 248, 252,    1,    0,   17,   20
2445.000, 161, 202, 253, 253,  -11,    5,  -12,  -20
2446.000,   4,  90, 252, 253,   15,  -13,    1,   17
2447.000, 102, 234, 249, 252,  -10,   18,    8,  -11
2448.000, 199, 123, 251, 252,    2,  -18,  -11,    2
2449.000,  36,  13, 250, 250,    8,   15,    9,    5
2450.000, 126, 161, 248, 254,  -13,  -10,    1,  -10
2451.000, 216,  54, 250, 252,    9,    4,  -13,   14
2452.000,  55, 207, 251, 252,    4,    6,   17,  -15
2453.000, 151, 103, 254, 254,  -17,  -16,  -11,   11
2454.000, 249, 248, 254, 252,   19,   22,   -3,   -4
2455.000, 100, 140, 253, 253,  -15,  -23,   12,   -7
2456.000, 210,  26, 253, 253,    8,   19,  -16,   14
2457.000,  68, 164, 253, 254,   -2,  -15,   18,  -18
2458.000, 183,  44, 252, 253,   -5,   11,  -20,   20
2459.000,  36, 175, 252, 252,   15,   -9,   18,  -21
2460.000, 143,  48, 251, 254,  -23,   10,   -9,   23
2461.000, 250, 183, 253, 250,   26,   -7,   -4,  -28
2462.000, 101,  61, 251, 254,  -20,    3,   15,   31
2463.000, 211, 197, 254, 254,   11,    4,  -22,  -33
2464.000,  65,  76, 254, 254,    0,   -9,   22,   30
2465.000, 178, 209, 254, 253,   -7,   12,  -19,  -27
2466.000,  37,  84, 254, 252,   11,  -13,   14,   24
2467.000, 153, 214, 252, 253,  -14,   12,  -10,  -21
2468.000,  20,  87, 252, 254,   16,  -12,    9,   19
2469.000, 135, 214, 254, 255,  -22,   11,   -4,  -18
2470.000, 249,  80, 255, 252,   24,   -8,   -4,   20
2471.000, 102, 209, 253, 252,  -21,   11,   15,  -24
2472.000, 212,  85, 253, 254,   13,  -14,  -23,   26
2473.000,  71, 218, 251, 253,   -4,   19,   27,  -26
2474.000, 180,  95, 253, 253,   -8,  -21,  -27,   23
2475.000,  36, 224, 253, 253,   18,   23,   22,  -23
2476.000, 147, 102, 253, 254,  -26,  -27,  -13,   21
2477.000,   0, 231, 252, 254,   29,   28,    0,  -19
2478.000, 111, 108, 250, 252,  -25,  -31,   11,   16
2479.000, 225, 241, 252, 253,   18,   32,  -17,  -12

[ANTENNA_MEASUREMENT_VALUE_1]
2400.000, 221, 134, 249, 254,   52,  -62,  -60,  -10
2401.000,  78,  10, 248, 251,  -26,   66,   73,   16
2402.000, 191, 143, 254, 250,    0,  -62,  -78,  -23
2403.000,  50,  14, 250, 253,   27,   60,   77,   22
2404.000, 162, 143, 250, 253,  -60,  -60,  -65,  -23
2405.000,  16,  16, 252, 253,   81,   64,   33,   25
2406.000, 130, 148, 251, 253,  -82,  -66,   -4,  -34
2407.000, 246,  24, 253, 255,   80,   60,  -21,   40
2408.000, 104, 154, 251, 253,  -73,  -54,   49,  -41
2409.000, 216,  26, 252, 254,   52,   55,  -77,   41
2410.000,  71, 157, 253, 252,  -14,  -56,   86,  -48
2411.000, 188,  34, 253, 252,   -8,   52,  -84,   57
2412.000,  44, 167, 253, 254,   39,  -42,   73,  -59
2413.000, 159,  39, 251, 254,  -57,   41,  -55,   57
2414.000,  18, 170, 251, 252,   71,  -36,   34,  -59
2415.000, 135,  42, 252, 253,  -76,   35,  -14,   56
2416.000, 251, 171, 254, 254,   86,  -32,  -12,  -57
2417.000, 106,  38, 248, 254,  -81,   39,   48,   52
2418.000, 216, 162, 250, 252,   56,  -48,  -82,  -54
2419.000,  72,  38, 250, 255,  -21,   46,  107,   63
2420.000, 181, 169, 252, 253,  -28,  -44, -102,  -70
2421.000,  37,  48, 252, 252,   59,   34,   76,   84
2422.000, 149, 184, 250, 255,  -74,  -17,  -41,  -86
2423.000,  11,  60, 250, 249,   68,    8,   19,   80
2424.000, 133, 193, 251, 254,  -68,    1,   -8,  -71
2425.000, 253,  62, 252, 254,   78,    4,   -6,   58
2426.000, 111, 182, 246, 254,  -82,  -13,   36,  -55
2427.000, 225,  49, 252, 250,   75,   23,  -70,   61
2428.000,  78, 178, 246, 250,  -38,  -26,  108,  -70
2429.000, 188,  51, 253, 253,  -12,   26, -118,   82
2430.000,  40, 182, 248, 254,   69,  -23,  104,  -93
2431.000, 148,  60, 250, 255, -106,   10,  -58,   99
2432.000,   5, 194, 249, 255,  113,    5,   13, -103
2433.000, 117,  74, 254, 254, -103,  -24,   28,   98
2434.000, 232, 206, 253, 251,   84,   32,  -55,  -89
2435.000,  89,  83, 251, 252,  -56,  -40,   81,   80
2436.000, 205, 212, 247, 253,   27,   39,  -86,  -74
2437.000,  63,  86, 251, 255,    0,  -42,   93,   70
2438.000, 175, 215, 249, 255,  -36,   40,  -83,  -64
2439.000,  34,  87, 249, 253,   60,  -42,   65,   66
2440.000, 148, 218, 250, 255,  -79,   45,  -41,  -60
2441.000,   7,  89, 252, 250,   89,  -42,   15,   61
2442.000, 115, 215, 251, 252,  -89,   40,   30,  -63
2443.000, 230,  90, 249, 254,   71,  -44,  -52,   61
2444.000,  89, 220, 252, 252,  -48,   50,   70,  -59
2445.000, 206,  98, 247, 254,   30,  -54,  -85,   49
2446.000,  65, 226, 251, 253,   -2,   53,   95,  -48
2447.000, 177,  98, 252, 252,  -37,  -55,  -94,   50
2448.000,  32, 228, 250, 254,   75,   60,   75,  -51
2449.000, 144, 102, 251, 255, -103,  -68,  -42,   50
2450.000, 252, 234, 248, 252,  110,   76,  -11,  -45
2451.000, 107, 111, 252, 253,  -95,  -85,   54,   38
2452.000, 218, 244, 250, 252,   63,   88,  -87,  -27
2453.000,  72, 120, 251, 253,  -22,  -89,  106,   18
2454.000, 178, 249, 251, 253,  -35,   88,  -99,  -14
2455.000,  32, 126, 250, 252,   69,  -90,   69,    4
2456.000, 144,   6, 251, 253,  -83,   87,  -35,   12
2457.000,   0, 140, 252, 255,   85,  -77,    1,  -23
2458.000, 112,  17, 248, 254,  -78,   68,   32,   31
2459.000, 222, 149, 250, 254,   55,  -62,  -61,  -34
2460.000,  72,  26, 253, 253,  -15,   57,   74,   41
2461.000, 179, 161, 248, 253,  -21,  -46,  -64,  -50
2462.000,  31,  39, 249, 254,   39,   36,   37,   51
2463.000, 138, 175, 253, 253,  -38,  -22,  -10,  -50
2464.000, 254,  55, 254, 255,   27,   10,   -1,   44
2465.000, 124, 189, 253, 253,  -18,   -3,    2,  -32
2466.000, 251,  57, 253, 252,   21,    4,   -3,   22
2467.000, 112, 172, 253, 246,  -24,   -7,   10,  -14
2468.000, 222,  32, 253, 252,   20,   13,  -22,   13
2469.000,  78, 161, 254, 248,  -11,  -15,   31,  -16
2470.000, 182,  37, 252, 251,   -9,   15,  -35,   19
2471.000,  32, 171, 252, 249,   26,  -13,   26,  -24
2472.000, 135,  54, 248, 249,  -35,    7,   -6,   29
2473.000, 236, 194, 252, 253,   32,    1,  -17,  -30
2474.000,  79,  77, 252, 251,  -12,   -9,   31,   28
2475.000, 180, 219, 252, 253,   -9,   18,  -31,  -23
2476.000,  25, 107, 252, 248,   25,  -23,   18,   13
2477.000, 127, 248, 252, 254,  -33,   26,    0,   -5
2478.000, 225, 134, 252, 253,   24,  -25,  -23,   -4
2479.000,  74,  18, 253, 252,   -7,   25,   30,   12

[ANTENNA_MEASUREMENT_VALUE_2]
2400.000,  97, 176, 253, 251,  -15,   -8,   14,  -21
2401.000, 205,  48, 251, 252,    7,   10,  -19,   23
2402.000,  59, 183, 253, 254,    3,   -6,   20,  -24
2403.000, 171,  57, 251, 254,   -9,    4,  -17,   24
2404.000,  30, 190, 252, 253,   14,   -1,   13,  -24
2405.000, 143,  63, 254, 252,  -17,    0,   -7,   23
2406.000,   2, 193, 251, 254,   18,    1,    1,  -23
2407.000, 119,  68, 251, 250,  -18,   -2,    4,   22
2408.000, 234, 197, 252, 250,   17,    3,  -10,  -21
2409.000,  96,  68, 251, 253,  -15,   -2,   16,   22
2410.000, 208, 198, 252, 252,    9,    3,  -22,  -23
2411.000,  63,  71, 252, 252,    1,   -4,   27,   25
2412.000, 171, 202, 255, 254,  -13,    7,  -23,  -28
2413.000,  27,  81, 252, 254,   20,  -13,   15,   29
2414.000, 137, 215, 249, 253,  -21,   16,   -5,  -26
