FIRMWARE VERSION: 1979
FIRMWARE VERSION: 1979
Freq, i_avg, r_avg, i_qf_avg, r_qf_avg, i_i_avg, r_i_avg, i_q_avg, r_q_avg
[ANTENNA_MEASUREMENT_VALUE_0]
2400.000, 121, 237, 252, 252,  -19,   19,    3,  -10
2401.000, 131,   0, 253, 249,  -21,   24,   -1,    0
2402.000, 125,  14, 250, 253,  -20,   24,    1,    8
2403.000, 116,  21, 252, 253,  -17,   23,    5,   13
2404.000, 102,  26, 255, 253,  -13,   21,   10,   15
2405.000,  90,  27, 253, 253,   -8,   18,   11,   14
2406.000,  78,  27, 254, 254,   -4,   17,   12,   13
2407.000,  71,  22, 251, 253,   -2,   15,   12,    9
2408.000,  59,  15, 252, 252,    2,   15,   14,    6
2409.000,  40,   3, 252, 253,    9,   15,   14,    1
2410.000,  21, 250, 252, 254,   15,   18,    8,   -3
2411.000, 255, 248, 249, 254,   17,   21,    0,   -4
2412.000, 236, 244, 253, 250,   14,   21,   -7,   -6
2413.000, 221, 243, 252, 252,   10,   21,  -11,   -7
2414.000, 203, 238, 255, 252,    4,   18,  -14,   -9
2415.000, 187, 230, 252, 254,   -2,   16,  -15,  -12
2416.000, 169, 224, 252, 253,   -9,   13,  -13,  -13
2417.000, 152, 212, 253, 252,  -15,    9,  -10,  -18
2418.000, 131, 208, 253, 253,  -20,    8,   -2,  -19
2419.000, 113, 200, 252, 254,  -20,    4,    8,  -22
2420.000,  93, 197, 254, 254,  -15,    3,   18,  -25
2421.000,  71, 195, 254, 255,   -4,    2,   24,  -28
2422.000,  49, 192, 253, 250,    9,    0,   23,  -30
2423.000,  25, 193, 253, 254,   19,    1,   14,  -32
2424.000,   6, 193, 251, 252,   20,    0,    3,  -32
2425.000, 245, 193, 253, 254,   19,    1,   -5,  -30
2426.000, 230, 187, 252, 251,   16,   -3,  -12,  -26
2427.000, 210, 180, 253, 255,   10,   -8,  -21,  -25
2428.000, 187, 172, 251, 253,   -3,  -13,  -24,  -23
2429.000, 162, 167, 252, 252,  -17,  -18,  -19,  -25
2430.000, 139, 166, 252, 251,  -24,  -19,   -7,  -25
2431.000, 117, 164, 254, 252,  -24,  -20,    6,  -25
2432.000,  93, 166, 251, 254,  -16,  -20,   18,  -26
2433.000,  73, 165, 253, 252,   -4,  -20,   21,  -26
2434.000,  51, 170, 253, 250,    6,  -16,   18,  -26
2435.000,  31, 167, 251, 254,   13,  -16,   12,  -23
2436.000,  10, 166, 252, 252,   16,  -15,    4,  -20
2437.000, 243, 162, 254, 254,   14,  -15,   -4,  -17
2438.000, 222, 158, 250, 253,    8,  -16,   -9,  -14
2439.000, 202, 157, 250, 253,    2,  -14,  -10,  -12
2440.000, 190, 154, 252, 250,    0,  -13,   -7,   -9
2441.000, 177, 148, 246, 254,   -3,  -11,   -7,   -6
2442.000, 158, 136, 250, 253,   -6,  -10,   -5,   -2
2443.000, 140, 125, 249, 250,   -7,  -10,   -2,    1
2444.000, 129, 119, 253, 249,   -6,  -10,    0,    2
2445.000, 116, 118, 249, 252,   -6,   -9,    2,    2
2446.000, 100, 110, 252, 250,   -5,   -7,    4,    4
2447.000,  71,  98, 245, 253,   -1,   -6,    6,    5
2448.000,  55,  92, 245, 250,    1,   -6,    5,    7
